24974816:1:{rd 6 res} read: 3, ts: 1, fin: 9/30, writer id: 1, n: 12
24979220:10:{rd 6 res} read: 3, ts: 1, fin: 10/31, writer id: 1, n: 12
24979346:12:{rd 6 res} read: 3, ts: 1, fin: 10/31, writer id: 1, n: 12
24983097:2:{rd 6 res} read: 3, ts: 1, fin: 9/32, writer id: 1, n: 12
24983110:11:{rd 6 res} read: 3, ts: 1, fin: 7/32, writer id: 1, n: 12
24983147:3:{rd 6 res} read: 3, ts: 1, fin: 7/32, writer id: 1, n: 12
24987042:5:{rd 6 res} read: 3, ts: 1, fin: 6/33, writer id: 1, n: 12
24990945:9:{rd 6 res} read: 3, ts: 1, fin: 9/34, writer id: 1, n: 12
24990974:6:{rd 6 res} read: 3, ts: 1, fin: 7/34, writer id: 1, n: 12
24994884:4:{rd 6 res} read: 3, ts: 1, fin: 6/35, writer id: 1, n: 12
24998745:8:{rd 6 res} read: 3, ts: 1, fin: 7/36, writer id: 1, n: 12
25343441:7:{rd 6 res} read: 3, ts: 1, fin: 8/124, writer id: 1, n: 12
28957943:6:{rd 7 res} read: 4, ts: 2, fin: 5/26, writer id: 1, n: 12
28961733:5:{rd 7 res} read: 4, ts: 2, fin: 4/27, writer id: 1, n: 12
28965888:2:{rd 7 res} read: 4, ts: 2, fin: 7/28, writer id: 1, n: 12
28973234:1:{rd 7 res} written: 4, ts: 2, fin: 9/30, n: 12
28977570:12:{rd 7 res} written: 4, ts: 2, fin: 10/31, n: 12
28978193:10:{rd 7 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 12
28978286:3:{rd 7 res} read: 4, ts: 2, fin: 7/31, writer id: 1, n: 12
29049045:4:{rd 7 res} read: 4, ts: 2, fin: 6/49, writer id: 1, n: 12
29052839:9:{rd 7 res} read: 4, ts: 2, fin: 5/50, writer id: 1, n: 12
29052971:11:{rd 7 res} read: 4, ts: 2, fin: 7/50, writer id: 1, n: 12
29056878:7:{rd 7 res} read: 4, ts: 2, fin: 8/51, writer id: 1, n: 12
29350412:8:{rd 7 res} read: 4, ts: 2, fin: 6/126, writer id: 1, n: 12
32969086:7:{rd 8 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
32969089:6:{rd 8 res} read: 4, ts: 2, fin: 6/29, writer id: 1, n: 12
32969126:4:{rd 8 res} read: 4, ts: 2, fin: 6/29, writer id: 1, n: 12
32973323:8:{rd 8 res} read: 4, ts: 2, fin: 6/30, writer id: 1, n: 12
32973337:11:{rd 8 res} read: 4, ts: 2, fin: 7/30, writer id: 1, n: 12
32977242:5:{rd 8 res} read: 4, ts: 2, fin: 6/31, writer id: 1, n: 12
32981010:9:{rd 8 res} read: 4, ts: 2, fin: 5/32, writer id: 1, n: 12
32981134:12:{rd 8 res} read: 4, ts: 2, fin: 9/32, writer id: 1, n: 12
32981265:2:{rd 8 res} read: 4, ts: 2, fin: 7/32, writer id: 1, n: 12
32985037:10:{rd 8 res} read: 4, ts: 2, fin: 9/33, writer id: 1, n: 12
32988953:1:{rd 8 res} read: 4, ts: 2, fin: 9/34, writer id: 1, n: 12
33216060:3:{rd 8 res} read: 4, ts: 2, fin: 7/92, writer id: 1, n: 12
36963890:9:{rd 9 res} read: 5, ts: 3, fin: 7/28, writer id: 1, n: 12
36968096:11:{rd 9 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
36968213:5:{rd 9 res} read: 5, ts: 3, fin: 6/29, writer id: 1, n: 12
36968489:8:{rd 9 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
36972000:2:{rd 9 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
36972072:3:{rd 9 res} read: 5, ts: 3, fin: 7/30, writer id: 1, n: 12
36999759:10:{rd 9 res} read: 5, ts: 3, fin: 7/37, writer id: 1, n: 12
37002902:12:{rd 9 res} written: 5, ts: 3, fin: 9/38, n: 12
37047094:4:{rd 9 res} read: 5, ts: 3, fin: 8/49, writer id: 1, n: 12
37051051:6:{rd 9 res} read: 5, ts: 3, fin: 7/50, writer id: 1, n: 12
37206537:1:{rd 9 res} written: 5, ts: 3, fin: 9/90, n: 12
37348283:7:{rd 9 res} read: 5, ts: 3, fin: 8/126, writer id: 1, n: 12
40967840:11:{rd 10 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
40968286:4:{rd 10 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
40971724:1:{rd 10 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
40971751:3:{rd 10 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
40972046:7:{rd 10 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
40972081:5:{rd 10 res} read: 5, ts: 3, fin: 5/30, writer id: 1, n: 12
40972124:2:{rd 10 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
40976247:12:{rd 10 res} read: 5, ts: 3, fin: 10/31, writer id: 1, n: 12
40976252:10:{rd 10 res} read: 5, ts: 3, fin: 10/31, writer id: 1, n: 12
41050715:8:{rd 10 res} read: 5, ts: 3, fin: 7/50, writer id: 1, n: 12
41054743:6:{rd 10 res} read: 5, ts: 3, fin: 6/51, writer id: 1, n: 12
41101371:9:{rd 10 res} read: 5, ts: 3, fin: 8/63, writer id: 1, n: 12
44958737:4:{rd 11 res} read: 6, ts: 4, fin: 6/27, writer id: 1, n: 12
44962863:8:{rd 11 res} read: 6, ts: 4, fin: 7/28, writer id: 1, n: 12
44966886:5:{rd 11 res} read: 6, ts: 4, fin: 6/29, writer id: 1, n: 12
44966969:6:{rd 11 res} read: 6, ts: 4, fin: 6/29, writer id: 1, n: 12
44971113:11:{rd 11 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
44971136:7:{rd 11 res} read: 6, ts: 4, fin: 7/30, writer id: 1, n: 12
44974319:12:{rd 11 res} written: 6, ts: 4, fin: 7/31, n: 12
44977886:1:{rd 11 res} written: 6, ts: 4, fin: 9/32, n: 12
45069471:3:{rd 11 res} read: 6, ts: 4, fin: 9/55, writer id: 1, n: 12
45073161:2:{rd 11 res} read: 6, ts: 4, fin: 9/56, writer id: 1, n: 12
45077184:9:{rd 11 res} read: 6, ts: 4, fin: 6/57, writer id: 1, n: 12
45077191:10:{rd 11 res} read: 6, ts: 4, fin: 7/57, writer id: 1, n: 12
48957819:2:{rd 12 res} read: 6, ts: 4, fin: 6/27, writer id: 1, n: 12
48961678:1:{rd 12 res} read: 6, ts: 4, fin: 7/28, writer id: 1, n: 12
48961690:3:{rd 12 res} read: 6, ts: 4, fin: 7/28, writer id: 1, n: 12
48966286:11:{rd 12 res} read: 6, ts: 4, fin: 8/29, writer id: 1, n: 12
48981871:9:{rd 12 res} read: 6, ts: 4, fin: 6/33, writer id: 1, n: 12
48985906:4:{rd 12 res} read: 6, ts: 4, fin: 7/34, writer id: 1, n: 12
49017524:5:{rd 12 res} read: 6, ts: 4, fin: 7/42, writer id: 1, n: 12
49037114:10:{rd 12 res} read: 6, ts: 4, fin: 7/47, writer id: 1, n: 12
49040897:12:{rd 12 res} read: 6, ts: 4, fin: 7/48, writer id: 1, n: 12
49076287:8:{rd 12 res} read: 6, ts: 4, fin: 5/57, writer id: 1, n: 12
49080106:6:{rd 12 res} read: 6, ts: 4, fin: 7/58, writer id: 1, n: 12
49271925:7:{rd 12 res} read: 6, ts: 4, fin: 8/107, writer id: 1, n: 12
52973307:2:{rd 13 res} read: 7, ts: 5, fin: 10/31, writer id: 1, n: 12
52976308:1:{rd 13 res} written: 7, ts: 5, fin: 11/32, n: 12
52977111:3:{rd 13 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
52977128:11:{rd 13 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
52977201:7:{rd 13 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
52980897:5:{rd 13 res} read: 7, ts: 5, fin: 4/33, writer id: 1, n: 12
52984846:6:{rd 13 res} read: 7, ts: 5, fin: 5/34, writer id: 1, n: 12
52988667:8:{rd 13 res} read: 7, ts: 5, fin: 6/35, writer id: 1, n: 12
52988688:4:{rd 13 res} read: 7, ts: 5, fin: 6/35, writer id: 1, n: 12
52988833:10:{rd 13 res} read: 7, ts: 5, fin: 8/35, writer id: 1, n: 12
52991894:12:{rd 13 res} written: 7, ts: 5, fin: 11/36, n: 12
53321789:9:{rd 13 res} read: 7, ts: 5, fin: 8/120, writer id: 1, n: 12
56955851:4:{rd 14 res} read: 7, ts: 5, fin: 6/27, writer id: 1, n: 12
56960033:8:{rd 14 res} read: 7, ts: 5, fin: 7/28, writer id: 1, n: 12
56971862:9:{rd 14 res} read: 7, ts: 5, fin: 8/31, writer id: 1, n: 12
56972074:5:{rd 14 res} read: 7, ts: 5, fin: 6/31, writer id: 1, n: 12
56976059:11:{rd 14 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
56976076:6:{rd 14 res} read: 7, ts: 5, fin: 7/32, writer id: 1, n: 12
56976094:7:{rd 14 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
56976298:2:{rd 14 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 12
56983963:12:{rd 14 res} read: 7, ts: 5, fin: 9/34, writer id: 1, n: 12
56987725:10:{rd 14 res} read: 7, ts: 5, fin: 9/35, writer id: 1, n: 12
56992113:1:{rd 14 res} read: 7, ts: 5, fin: 11/36, writer id: 1, n: 12
57246646:3:{rd 14 res} read: 7, ts: 5, fin: 11/101, writer id: 1, n: 12
60970894:9:{rd 15 res} read: 8, ts: 6, fin: 6/31, writer id: 1, n: 12
60974320:12:{rd 15 res} written: 8, ts: 6, fin: 9/32, n: 12
60978935:10:{rd 15 res} read: 8, ts: 6, fin: 9/33, writer id: 1, n: 12
60982155:1:{rd 15 res} written: 8, ts: 6, fin: 11/34, n: 12
60990913:2:{rd 15 res} read: 8, ts: 6, fin: 11/36, writer id: 1, n: 12
60994675:5:{rd 15 res} read: 8, ts: 6, fin: 6/37, writer id: 1, n: 12
60998762:11:{rd 15 res} read: 8, ts: 6, fin: 11/38, writer id: 1, n: 12
61006864:6:{rd 15 res} read: 8, ts: 6, fin: 5/40, writer id: 1, n: 12
61010566:8:{rd 15 res} read: 8, ts: 6, fin: 6/41, writer id: 1, n: 12
61010758:4:{rd 15 res} read: 8, ts: 6, fin: 6/41, writer id: 1, n: 12
61132312:3:{rd 15 res} read: 8, ts: 6, fin: 11/72, writer id: 1, n: 12
61135964:7:{rd 15 res} read: 8, ts: 6, fin: 8/73, writer id: 1, n: 12
64957772:12:{rd 16 res} read: 8, ts: 6, fin: 7/28, writer id: 1, n: 12
64962056:9:{rd 16 res} read: 8, ts: 6, fin: 6/29, writer id: 1, n: 12
