33190594:5:{rd 8 res} diss: 00000003, fin: 25/42, node id: 5, n: 40
33190693:22:{rd 8 res} diss: 00000003, fin: 25/42, node id: 22, n: 40
33190736:17:{rd 8 res} diss: 00000003, fin: 25/42, node id: 17, n: 40
33190894:14:{rd 8 res} diss: 00000003, fin: 25/42, node id: 14, n: 40
33190908:8:{rd 8 res} diss: 00000003, fin: 25/42, node id: 8, n: 40
33190977:18:{rd 8 res} diss: 00000003, fin: 25/42, node id: 18, n: 40
33190995:12:{rd 8 res} diss: 00000003, fin: 25/42, node id: 12, n: 40
33191067:28:{rd 8 res} diss: 00000003, fin: 25/42, node id: 28, n: 40
33194498:11:{rd 8 res} diss: 00000003, fin: 26/43, node id: 11, n: 40
33194515:34:{rd 8 res} diss: 00000003, fin: 26/43, node id: 34, n: 40
33194589:24:{rd 8 res} diss: 00000003, fin: 26/43, node id: 24, n: 40
33194608:30:{rd 8 res} diss: 00000003, fin: 26/43, node id: 30, n: 40
33194618:15:{rd 8 res} diss: 00000003, fin: 26/43, node id: 15, n: 40
33194629:37:{rd 8 res} diss: 00000003, fin: 26/43, node id: 37, n: 40
33194665:16:{rd 8 res} diss: 00000003, fin: 26/43, node id: 16, n: 40
33194666:31:{rd 8 res} diss: 00000003, fin: 26/43, node id: 31, n: 40
33194677:29:{rd 8 res} diss: 00000003, fin: 26/43, node id: 29, n: 40
33194721:36:{rd 8 res} diss: 00000003, fin: 26/43, node id: 36, n: 40
33194742:35:{rd 8 res} diss: 00000003, fin: 26/43, node id: 35, n: 40
33194794:25:{rd 8 res} diss: 00000003, fin: 26/43, node id: 25, n: 40
33194869:4:{rd 8 res} diss: 00000003, fin: 26/43, node id: 4, n: 40
33194889:9:{rd 8 res} diss: 00000003, fin: 26/43, node id: 9, n: 40
33194923:27:{rd 8 res} diss: 00000003, fin: 26/43, node id: 27, n: 40
33194982:2:{rd 8 res} diss: 00000003, fin: 26/43, node id: 2, n: 40
33195013:39:{rd 8 res} diss: 00000003, fin: 26/43, node id: 39, n: 40
33195070:38:{rd 8 res} diss: 00000003, fin: 26/43, node id: 38, n: 40
33195100:20:{rd 8 res} diss: 00000003, fin: 26/43, node id: 20, n: 40
33198372:7:{rd 8 res} diss: 00000003, fin: 27/44, node id: 7, n: 40
33198558:21:{rd 8 res} diss: 00000003, fin: 27/44, node id: 21, n: 40
33198576:13:{rd 8 res} diss: 00000003, fin: 27/44, node id: 13, n: 40
33198644:6:{rd 8 res} diss: 00000003, fin: 27/44, node id: 6, n: 40
