18853609:10:{rd 6 res} diss: 00000003, fin: 14/31, node id: 10, n: 12
18857346:3:{rd 6 res} diss: 00000003, fin: 15/32, node id: 3, n: 12
18857465:12:{rd 6 res} diss: 00000003, fin: 15/32, node id: 12, n: 12
18857643:1:{rd 6 res} diss: 00000003, fin: 15/32, node id: 1, n: 12
18861386:2:{rd 6 res} diss: 00000003, fin: 16/33, node id: 2, n: 12
18861477:5:{rd 6 res} diss: 00000003, fin: 16/33, node id: 5, n: 12
18861513:7:{rd 6 res} diss: 00000003, fin: 16/33, node id: 7, n: 12
18861521:9:{rd 6 res} diss: 00000003, fin: 16/33, node id: 9, n: 12
18861795:11:{rd 6 res} diss: 00000003, fin: 16/33, node id: 11, n: 12
18865476:6:{rd 6 res} diss: 00000003, fin: 17/34, node id: 6, n: 12
18865476:4:{rd 6 res} diss: 00000003, fin: 17/34, node id: 4, n: 12
18865484:8:{rd 6 res} diss: 00000003, fin: 17/34, node id: 8, n: 12
21748850:1:{rd 7 res} diss: 00000003, fin: 13/30, node id: 1, n: 12
21752491:3:{rd 7 res} diss: 00000003, fin: 14/31, node id: 3, n: 12
21753125:10:{rd 7 res} diss: 00000003, fin: 14/31, node id: 10, n: 12
21753153:12:{rd 7 res} diss: 00000003, fin: 14/31, node id: 12, n: 12
21756852:7:{rd 7 res} diss: 00000003, fin: 15/32, node id: 7, n: 12
21756911:9:{rd 7 res} diss: 00000003, fin: 15/32, node id: 9, n: 12
21756986:2:{rd 7 res} diss: 00000003, fin: 15/32, node id: 2, n: 12
21757213:11:{rd 7 res} diss: 00000003, fin: 15/32, node id: 11, n: 12
21764773:5:{rd 7 res} diss: 00000003, fin: 17/34, node id: 5, n: 12
21768673:4:{rd 7 res} diss: 00000003, fin: 18/35, node id: 4, n: 12
21768711:8:{rd 7 res} diss: 00000003, fin: 18/35, node id: 8, n: 12
21768725:6:{rd 7 res} diss: 00000003, fin: 18/35, node id: 6, n: 12
24679836:12:{rd 8 res} diss: 00000003, fin: 21/38, node id: 12, n: 12
24680102:3:{rd 8 res} diss: 00000003, fin: 21/38, node id: 3, n: 12
24683631:1:{rd 8 res} diss: 00000003, fin: 22/39, node id: 1, n: 12
24683788:10:{rd 8 res} diss: 00000003, fin: 22/39, node id: 10, n: 12
24687517:4:{rd 8 res} diss: 00000003, fin: 23/40, node id: 4, n: 12
24687522:9:{rd 8 res} diss: 00000003, fin: 23/40, node id: 9, n: 12
24687564:5:{rd 8 res} diss: 00000003, fin: 23/40, node id: 5, n: 12
24687582:2:{rd 8 res} diss: 00000003, fin: 23/40, node id: 2, n: 12
24687650:11:{rd 8 res} diss: 00000003, fin: 23/40, node id: 11, n: 12
24691411:8:{rd 8 res} diss: 00000003, fin: 24/41, node id: 8, n: 12
24691431:7:{rd 8 res} diss: 00000003, fin: 23/41, node id: 7, n: 12
24691545:6:{rd 8 res} diss: 00000003, fin: 24/41, node id: 6, n: 12
27539021:6:{rd 9 res} diss: 00000003, fin: 11/28, node id: 6, n: 12
27539127:5:{rd 9 res} diss: 00000003, fin: 11/28, node id: 5, n: 12
27539197:9:{rd 9 res} diss: 00000003, fin: 11/28, node id: 9, n: 12
27539225:2:{rd 9 res} diss: 00000003, fin: 11/28, node id: 2, n: 12
27543282:7:{rd 9 res} diss: 00000003, fin: 12/29, node id: 7, n: 12
27543454:11:{rd 9 res} diss: 00000003, fin: 12/29, node id: 11, n: 12
27543739:8:{rd 9 res} diss: 00000003, fin: 12/29, node id: 8, n: 12
27543835:4:{rd 9 res} diss: 00000003, fin: 12/29, node id: 4, n: 12
27551236:3:{rd 9 res} diss: 00000003, fin: 14/31, node id: 3, n: 12
