33044087:24:{rd 8 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 40
33047788:31:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 40
33048002:11:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 40
33060076:8:{rd 8 res} read: 3, ts: 1, fin: 19/40, writer id: 1, n: 40
33060152:13:{rd 8 res} read: 3, ts: 1, fin: 19/40, writer id: 1, n: 40
33063972:34:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
33064007:18:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
33064012:19:{rd 8 res} read: 3, ts: 1, fin: 16/41, writer id: 1, n: 40
33064044:35:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
33064054:33:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
33064092:4:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
33067765:10:{rd 8 res} read: 3, ts: 1, fin: 19/42, writer id: 1, n: 40
33067778:20:{rd 8 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
33067861:16:{rd 8 res} read: 3, ts: 1, fin: 17/42, writer id: 1, n: 40
33067901:9:{rd 8 res} read: 3, ts: 1, fin: 17/42, writer id: 1, n: 40
33067904:26:{rd 8 res} read: 3, ts: 1, fin: 19/42, writer id: 1, n: 40
33067945:40:{rd 8 res} read: 3, ts: 1, fin: 19/42, writer id: 1, n: 40
33067949:2:{rd 8 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
33067977:23:{rd 8 res} read: 3, ts: 1, fin: 17/42, writer id: 1, n: 40
33068047:6:{rd 8 res} read: 3, ts: 1, fin: 19/42, writer id: 1, n: 40
33071789:7:{rd 8 res} read: 3, ts: 1, fin: 17/43, writer id: 1, n: 40
33083583:29:{rd 8 res} read: 3, ts: 1, fin: 13/46, writer id: 1, n: 40
33087433:22:{rd 8 res} read: 3, ts: 1, fin: 13/47, writer id: 1, n: 40
33091441:36:{rd 8 res} read: 3, ts: 1, fin: 13/48, writer id: 1, n: 40
33146297:38:{rd 8 res} read: 3, ts: 1, fin: 19/62, writer id: 1, n: 40
33150097:21:{rd 8 res} read: 3, ts: 1, fin: 19/63, writer id: 1, n: 40
33150148:32:{rd 8 res} read: 3, ts: 1, fin: 19/63, writer id: 1, n: 40
33150202:30:{rd 8 res} read: 3, ts: 1, fin: 20/63, writer id: 1, n: 40
33150222:27:{rd 8 res} read: 3, ts: 1, fin: 18/63, writer id: 1, n: 40
33153982:3:{rd 8 res} read: 3, ts: 1, fin: 17/64, writer id: 1, n: 40
33154021:15:{rd 8 res} read: 3, ts: 1, fin: 17/64, writer id: 1, n: 40
33154034:25:{rd 8 res} read: 3, ts: 1, fin: 13/64, writer id: 1, n: 40
33157923:5:{rd 8 res} read: 3, ts: 1, fin: 18/65, writer id: 1, n: 40
33169653:17:{rd 8 res} read: 3, ts: 1, fin: 15/68, writer id: 1, n: 40
33173609:28:{rd 8 res} read: 3, ts: 1, fin: 18/69, writer id: 1, n: 40
33236140:37:{rd 8 res} read: 3, ts: 1, fin: 15/85, writer id: 1, n: 40
33240078:14:{rd 8 res} read: 3, ts: 1, fin: 15/86, writer id: 1, n: 40
33240162:39:{rd 8 res} read: 3, ts: 1, fin: 21/86, writer id: 1, n: 40
33243972:1:{rd 8 res} read: 3, ts: 1, fin: 19/87, writer id: 1, n: 40
33396521:12:{rd 8 res} read: 3, ts: 1, fin: 20/126, writer id: 1, n: 40
37038253:1:{rd 9 res} written: 4, ts: 2, fin: 14/35, n: 40
37039290:8:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 40
37043002:15:{rd 9 res} read: 4, ts: 2, fin: 11/36, writer id: 1, n: 40
