29217077:2:{rd 7 res} diss: 00000003, fin: 11/28, node id: 2, n: 6
29217343:4:{rd 7 res} diss: 00000003, fin: 11/28, node id: 4, n: 6
29221723:5:{rd 7 res} diss: 00000003, fin: 12/29, node id: 5, n: 6
29221763:1:{rd 7 res} diss: 00000003, fin: 12/29, node id: 1, n: 6
29225401:3:{rd 7 res} diss: 00000003, fin: 12/30, node id: 3, n: 6
29225573:6:{rd 7 res} diss: 00000003, fin: 12/30, node id: 6, n: 6
33216347:1:{rd 8 res} diss: 00000003, fin: 7/28, node id: 1, n: 6
33220580:6:{rd 8 res} diss: 00000003, fin: 7/29, node id: 6, n: 6
33232506:2:{rd 8 res} diss: 00000003, fin: 15/32, node id: 2, n: 6
33236439:4:{rd 8 res} diss: 00000003, fin: 16/33, node id: 4, n: 6
33236561:5:{rd 8 res} diss: 00000003, fin: 16/33, node id: 5, n: 6
33240677:3:{rd 8 res} diss: 00000003, fin: 16/34, node id: 3, n: 6
37203313:6:{rd 9 res} diss: 00000003, fin: 7/25, node id: 6, n: 6
37203368:2:{rd 9 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
37207002:4:{rd 9 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
37207021:1:{rd 9 res} diss: 00000003, fin: 7/26, node id: 1, n: 6
37211154:5:{rd 9 res} diss: 00000003, fin: 9/27, node id: 5, n: 6
37215084:3:{rd 9 res} diss: 00000003, fin: 9/28, node id: 3, n: 6
41191158:1:{rd 10 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
41195348:6:{rd 10 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
41199024:2:{rd 10 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
41203069:5:{rd 10 res} diss: 00000003, fin: 8/25, node id: 5, n: 6
41203084:4:{rd 10 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
41206953:3:{rd 10 res} diss: 00000003, fin: 8/26, node id: 3, n: 6
45190431:1:{rd 11 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
45194247:6:{rd 11 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
45194360:4:{rd 11 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
45194385:2:{rd 11 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
45198156:5:{rd 11 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
45198226:3:{rd 11 res} diss: 00000003, fin: 7/24, node id: 3, n: 6
49193277:4:{rd 12 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
49201078:1:{rd 12 res} diss: 00000003, fin: 7/25, node id: 1, n: 6
49205062:2:{rd 12 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
49205111:6:{rd 12 res} diss: 00000003, fin: 9/26, node id: 6, n: 6
49209004:5:{rd 12 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
49212996:3:{rd 12 res} diss: 00000003, fin: 11/28, node id: 3, n: 6
53207927:1:{rd 13 res} diss: 00000003, fin: 5/27, node id: 1, n: 6
53220545:4:{rd 13 res} diss: 00000003, fin: 13/30, node id: 4, n: 6
53220582:2:{rd 13 res} diss: 00000003, fin: 13/30, node id: 2, n: 6
53224367:6:{rd 13 res} diss: 00000003, fin: 13/31, node id: 6, n: 6
53224536:5:{rd 13 res} diss: 00000003, fin: 14/31, node id: 5, n: 6
53228380:3:{rd 13 res} diss: 00000003, fin: 14/32, node id: 3, n: 6
57195256:1:{rd 14 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
57198988:4:{rd 14 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
57199303:6:{rd 14 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
57203121:5:{rd 14 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
57203138:2:{rd 14 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
57206944:3:{rd 14 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
61190423:6:{rd 15 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
61194346:1:{rd 15 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
61202140:2:{rd 15 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
61206210:3:{rd 15 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
61206248:4:{rd 15 res} diss: 00000003, fin: 10/27, node id: 4, n: 6
61210059:5:{rd 15 res} diss: 00000003, fin: 10/28, node id: 5, n: 6
65185359:6:{rd 16 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
65189343:3:{rd 16 res} diss: 00000003, fin: 6/23, node id: 3, n: 6
65189397:1:{rd 16 res} diss: 00000003, fin: 5/23, node id: 1, n: 6
65189435:2:{rd 16 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
65193247:5:{rd 16 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
65193263:4:{rd 16 res} diss: 00000003, fin: 7/24, node id: 4, n: 6
69184360:4:{rd 17 res} diss: 00000003, fin: 5/22, node id: 4, n: 6
69184418:2:{rd 17 res} diss: 00000003, fin: 5/22, node id: 2, n: 6
69188337:5:{rd 17 res} diss: 00000003, fin: 6/23, node id: 5, n: 6
69188490:6:{rd 17 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
69192181:1:{rd 17 res} diss: 00000003, fin: 6/24, node id: 1, n: 6
69192331:3:{rd 17 res} diss: 00000003, fin: 6/24, node id: 3, n: 6
73191173:1:{rd 18 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
73195255:4:{rd 18 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
73195347:6:{rd 18 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
73199045:2:{rd 18 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
73199267:5:{rd 18 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
73202873:3:{rd 18 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
77182605:6:{rd 19 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
77186547:1:{rd 19 res} diss: 00000003, fin: 6/23, node id: 1, n: 6
77194371:2:{rd 19 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
77198169:5:{rd 19 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
77198309:4:{rd 19 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
77202276:3:{rd 19 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
81209725:6:{rd 20 res} diss: 00000003, fin: 12/29, node id: 6, n: 6
81213761:1:{rd 20 res} diss: 00000003, fin: 13/30, node id: 1, n: 6
81221618:2:{rd 20 res} diss: 00000003, fin: 15/32, node id: 2, n: 6
81225393:5:{rd 20 res} diss: 00000003, fin: 16/33, node id: 5, n: 6
81225477:4:{rd 20 res} diss: 00000003, fin: 15/33, node id: 4, n: 6
81225796:3:{rd 20 res} diss: 00000003, fin: 16/33, node id: 3, n: 6
85188466:6:{rd 21 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
85192289:1:{rd 21 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
85196264:2:{rd 21 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
85200262:4:{rd 21 res} diss: 00000003, fin: 10/27, node id: 4, n: 6
85200367:3:{rd 21 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
85204440:5:{rd 21 res} diss: 00000003, fin: 10/28, node id: 5, n: 6
89187520:6:{rd 22 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
89191166:1:{rd 22 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
89195283:4:{rd 22 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
89199106:2:{rd 22 res} diss: 00000003, fin: 10/27, node id: 2, n: 6
89199403:5:{rd 22 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
89203001:3:{rd 22 res} diss: 00000003, fin: 10/28, node id: 3, n: 6
93182666:1:{rd 23 res} diss: 00000003, fin: 6/23, node id: 1, n: 6
