41589686:23:{rd 10 res} diss: 00000003, fin: 19/36, node id: 23, n: 24
41589732:11:{rd 10 res} diss: 00000003, fin: 19/36, node id: 11, n: 24
41593350:16:{rd 10 res} diss: 00000003, fin: 20/37, node id: 16, n: 24
41593404:9:{rd 10 res} diss: 00000003, fin: 20/37, node id: 9, n: 24
41593568:17:{rd 10 res} diss: 00000003, fin: 20/37, node id: 17, n: 24
41597275:8:{rd 10 res} diss: 00000003, fin: 21/38, node id: 8, n: 24
41597404:5:{rd 10 res} diss: 00000003, fin: 21/38, node id: 5, n: 24
41597411:6:{rd 10 res} diss: 00000003, fin: 21/38, node id: 6, n: 24
41597536:19:{rd 10 res} diss: 00000003, fin: 21/38, node id: 19, n: 24
41601020:2:{rd 10 res} diss: 00000003, fin: 22/39, node id: 2, n: 24
41601253:4:{rd 10 res} diss: 00000003, fin: 22/39, node id: 4, n: 24
41601261:24:{rd 10 res} diss: 00000003, fin: 22/39, node id: 24, n: 24
41601312:14:{rd 10 res} diss: 00000003, fin: 22/39, node id: 14, n: 24
41601390:10:{rd 10 res} diss: 00000003, fin: 22/39, node id: 10, n: 24
41601415:12:{rd 10 res} diss: 00000003, fin: 22/39, node id: 12, n: 24
41605186:20:{rd 10 res} diss: 00000003, fin: 23/40, node id: 20, n: 24
41605214:13:{rd 10 res} diss: 00000003, fin: 23/40, node id: 13, n: 24
41605361:22:{rd 10 res} diss: 00000003, fin: 23/40, node id: 22, n: 24
41605429:21:{rd 10 res} diss: 00000003, fin: 23/40, node id: 21, n: 24
41605466:3:{rd 10 res} diss: 00000003, fin: 23/40, node id: 3,n: 24
41609179:1:{rd 10 res} diss: 00000003, fin: 23/41, node id: 1, n: 24
41609200:7:{rd 10 res} diss: 00000003, fin: 23/41, node id: 7, n: 24
41609248:15:{rd 10 res} diss: 00000003, fin: 24/41, node id: 15, n: 24
41609259:18:{rd 10 res} diss: 00000003, fin: 24/41, node id: 18, n: 24
45573114:16:{rd 11 res} diss: 00000003, fin: 15/32, node id: 16, n: 24
45576683:8:{rd 11 res} diss: 00000003, fin: 16/33, node id: 8, n: 24
45576942:17:{rd 11 res} diss: 00000003, fin: 16/33, node id: 17, n: 24
45580529:4:{rd 11 res} diss: 00000003, fin: 17/34, node id: 4, n: 24
45580653:2:{rd 11 res} diss: 00000003, fin: 17/34, node id: 2, n: 24
45580706:19:{rd 11 res} diss: 00000003, fin: 17/34, node id: 19, n: 24
45580843:14:{rd 11 res} diss: 00000003, fin: 17/34, node id: 14, n: 24
45584680:11:{rd 11 res} diss: 00000003, fin: 18/35, node id: 11, n: 24
45584680:24:{rd 11 res} diss: 00000003, fin: 18/35, node id: 24, n: 24
45584696:23:{rd 11 res} diss: 00000003, fin: 18/35, node id: 23, n: 24
45584836:10:{rd 11 res} diss: 00000003, fin: 18/35, node id: 10, n: 24
45588409:9:{rd 11 res} diss: 00000003, fin: 19/36, node id: 9, n: 24
45588488:5:{rd 11 res} diss: 00000003, fin: 19/36, node id: 5, n: 24
45596286:1:{rd 11 res} diss: 00000003, fin: 21/38, node id: 1, n: 24
45600175:6:{rd 11 res} diss: 00000003, fin: 22/39, node id: 6, n: 24
45600527:20:{rd 11 res} diss: 00000003, fin: 22/39, node id: 20, n: 24
45604169:12:{rd 11 res} diss: 00000003, fin: 23/40, node id: 12, n: 24
45604373:13:{rd 11 res} diss: 00000003, fin: 23/40, node id: 13, n: 24
45608023:3:{rd 11 res} diss: 00000003, fin: 24/41, node id: 3, n: 24
45608050:7:{rd 11 res} diss: 00000003, fin: 24/41, node id: 7, n: 24
45608200:22:{rd 11 res} diss: 00000003, fin: 24/41, node id: 22, n: 24
45608237:18:{rd 11 res} diss: 00000003, fin: 24/41, node id: 18, n: 24
45612035:15:{rd 11 res} diss: 00000003, fin: 25/42, node id: 15, n: 24
45612134:21:{rd 11 res} diss: 00000003, fin: 25/42, node id: 21, n: 24
49575625:6:{rd 12 res} diss: 00000003, fin: 16/33, node id: 6, n: 24
49575818:9:{rd 12 res} diss: 00000003, fin: 16/33, node id: 9, n: 24
