36722600:8:{rd 9 res} diss: 00000003, fin: 0/59, node id: 8, n: 24
36722661:4:{rd 9 res} diss: 00000003, fin: 0/59, node id: 4, n: 24
36722728:5:{rd 9 res} diss: 00000003, fin: 0/59, node id: 5, n: 24
36722743:6:{rd 9 res} diss: 00000003, fin: 0/59, node id: 6, n: 24
36722756:2:{rd 9 res} diss: 00000003, fin: 0/59, node id: 2, n: 24
36722762:14:{rd 9 res} diss: 00000003, fin: 0/59, node id: 14, n: 24
36722766:10:{rd 9 res} diss: 00000003, fin: 0/59, node id: 10, n: 24
36722831:13:{rd 9 res} diss: 00000003, fin: 0/59, node id: 13, n: 24
36722871:7:{rd 9 res} diss: 00000003, fin: 0/59, node id: 7, n: 24
36722876:16:{rd 9 res} diss: 00000003, fin: 0/59, node id: 16, n: 24
36722904:11:{rd 9 res} diss: 00000003, fin: 0/59, node id: 11, n: 24
36722917:1:{rd 9 res} diss: 00000003, fin: 0/59, node id: 1, n: 24
36722956:19:{rd 9 res} diss: 00000003, fin: 0/59, node id: 19, n: 24
36722974:22:{rd 9 res} diss: 00000003, fin: 0/59, node id: 22, n: 24
36722976:23:{rd 9 res} diss: 00000003, fin: 0/59, node id: 23, n: 24
36723031:24:{rd 9 res} diss: 00000003, fin: 0/59, node id: 24, n: 24
36723037:12:{rd 9 res} diss: 00000003, fin: 0/59, node id: 12, n: 24
36723108:17:{rd 9 res} diss: 00000003, fin: 0/59, node id: 17, n: 24
36723126:15:{rd 9 res} diss: 00000003, fin: 0/59, node id: 15, n: 24
36723220:18:{rd 9 res} diss: 00000003, fin: 0/59, node id: 18, n: 24
36723308:20:{rd 9 res} diss: 00000003, fin: 0/59, node id: 20, n: 24
36723352:3:{rd 9 res} diss: 00000003, fin: 0/59, node id: 3, n: 24
36723535:21:{rd 9 res} diss: 00000003, fin: 0/59, node id: 21, n: 24
40534619:9:{rd 9 res} diss: waiting to join, n: 0
40722515:4:{rd 10 res} diss: 00000003, fin: 0/59, node id: 4, n: 24
40722516:8:{rd 10 res} diss: 00000003, fin: 0/59, node id: 8, n: 24
40722536:14:{rd 10 res} diss: 00000003, fin: 0/59, node id: 14, n: 24
40722541:2:{rd 10 res} diss: 00000003, fin: 0/59, node id: 2, n: 24
40722545:6:{rd 10 res} diss: 00000003, fin: 0/59, node id: 6, n: 24
40722666:5:{rd 10 res} diss: 00000003, fin: 0/59, node id: 5, n: 24
40722707:24:{rd 10 res} diss: 00000003, fin: 0/59, node id: 24, n: 24
40722720:20:{rd 10 res} diss: 00000003, fin: 0/59, node id: 20, n: 24
40722730:7:{rd 10 res} diss: 00000003, fin: 0/59, node id: 7, n: 24
40722744:3:{rd 10 res} diss: 00000003, fin: 0/59, node id: 3, n: 24
40722745:1:{rd 10 res} diss: 00000003, fin: 0/59, node id: 1, n: 24
40722784:10:{rd 10 res} diss: 00000003, fin: 0/59, node id: 10, n: 24
40722792:13:{rd 10 res} diss: 00000003, fin: 0/59, node id: 13, n: 24
40722829:11:{rd 10 res} diss: 00000003, fin: 0/59, node id: 11, n: 24
40722865:22:{rd 10 res} diss: 00000003, fin: 0/59, node id: 22, n: 24
40722879:19:{rd 10 res} diss: 00000003, fin: 0/59, node id: 19, n: 24
40722884:18:{rd 10 res} diss: 00000003, fin: 0/59, node id: 18, n: 24
40722887:15:{rd 10 res} diss: 00000003, fin: 0/59, node id: 15, n: 24
40722929:12:{rd 10 res} diss: 00000003, fin: 0/59, node id: 12, n: 24
40722954:21:{rd 10 res} diss: 00000003, fin: 0/59, node id: 21, n: 24
40723060:17:{rd 10 res} diss: 00000003, fin: 0/59, node id: 17, n: 24
40723069:16:{rd 10 res} diss: 00000003, fin: 0/59, node id: 16, n: 24
40723241:23:{rd 10 res} diss: 00000003, fin: 0/59, node id: 23, n: 24
40723241:9:{rd 10 res} diss: 00000003, fin: 0/59, node id: 23, n: 24
44720113:9:{rd 11 res} diss: waiting to join, n: 0
44721397:4:{rd 11 res} diss: 00000003, fin: 0/59, node id: 4, n: 24
44721558:3:{rd 11 res} diss: 00000003, fin: 0/59, node id: 3, n: 24
44721634:5:{rd 11 res} diss: 00000003, fin: 0/59, node id: 5, n: 24
44721675:7:{rd 11 res} diss: 00000003, fin: 0/59, node id: 7, n: 24
44721701:2:{rd 11 res} diss: 00000003, fin: 0/59, node id: 2, n: 24
44721711:22:{rd 11 res} diss: 00000003, fin: 0/59, node id: 22, n: 24
44721719:23:{rd 11 res} diss: 00000003, fin: 0/59, node id: 23, n: 24
44721728:24:{rd 11 res} diss: 00000003, fin: 0/59, node id: 24, n: 24
44721769:18:{rd 11 res} diss: 00000003, fin: 0/59, node id: 18, n: 24
44721782:1:{rd 11 res} diss: 00000003, fin: 0/59, node id: 1, n: 24
44721797:21:{rd 11 res} diss: 00000003, fin: 0/59, node id: 21, n: 24
44721808:8:{rd 11 res} diss: 00000003, fin: 0/59, node id: 8, n: 24
44721828:20:{rd 11 res} diss: 00000003, fin: 0/59, node id: 20, n: 24
44721830:12:{rd 11 res} diss: 00000003, fin: 0/59, node id: 12, n: 24
44721833:14:{rd 11 res} diss: 00000003, fin: 0/59, node id: 14, n: 24
44721838:15:{rd 11 res} diss: 00000003, fin: 0/59, node id: 15, n: 24
44721871:13:{rd 11 res} diss: 00000003, fin: 0/59, node id: 13, n: 24
44721879:6:{rd 11 res} diss: 00000003, fin: 0/59, node id: 6, n: 24
44721912:10:{rd 11 res} diss: 00000003, fin: 0/59, node id: 10, n: 24
44722071:19:{rd 11 res} diss: 00000003, fin: 0/59, node id: 19, n: 24
44722092:11:{rd 11 res} diss: 00000003, fin: 0/59, node id: 11, n: 24
44722120:17:{rd 11 res} diss: 00000003, fin: 0/59, node id: 17, n: 24
44722231:16:{rd 11 res} diss: 00000003, fin: 0/59, node id: 16, n: 24
48719229:9:{rd 12 res} diss: waiting to join, n: 0
48720376:2:{rd 12 res} diss: 00000003, fin: 0/59, node id: 2, n: 24
48720590:5:{rd 12 res} diss: 00000003, fin: 0/59, node id: 5, n: 24
48720610:8:{rd 12 res} diss: 00000003, fin: 0/59, node id: 8, n: 24
48720637:24:{rd 12 res} diss: 00000003, fin: 0/59, node id: 24, n: 24
48720650:16:{rd 12 res} diss: 00000003, fin: 0/59, node id: 16, n: 24
48720658:4:{rd 12 res} diss: 00000003, fin: 0/59, node id: 4, n: 24
48720672:20:{rd 12 res} diss: 00000003, fin: 0/59, node id: 20, n: 24
48720710:14:{rd 12 res} diss: 00000003, fin: 0/59, node id: 14, n: 24
48720819:6:{rd 12 res} diss: 00000003, fin: 0/59, node id: 6, n: 24
48720835:7:{rd 12 res} diss: 00000003, fin: 0/59, node id: 7, n: 24
48720867:11:{rd 12 res} diss: 00000003, fin: 0/59, node id: 11, n: 24
48720905:1:{rd 12 res} diss: 00000003, fin: 0/59, node id: 1, n: 24
48720918:10:{rd 12 res} diss: 00000003, fin: 0/59, node id: 10, n: 24
48720968:3:{rd 12 res} diss: 00000003, fin: 0/59, node id: 3, n: 24
48720980:22:{rd 12 res} diss: 00000003, fin: 0/59, node id: 22, n: 24
48720991:23:{rd 12 res} diss: 00000003, fin: 0/59, node id: 23, n: 24
48721030:19:{rd 12 res} diss: 00000003, fin: 0/59, node id: 19, n: 24
48721049:17:{rd 12 res} diss: 00000003, fin: 0/59, node id: 17, n: 24
48721083:12:{rd 12 res} diss: 00000003, fin: 0/59, node id: 12, n: 24
48721112:18:{rd 12 res} diss: 00000003, fin: 0/59, node id: 18, n: 24
48721188:21:{rd 12 res} diss: 00000003, fin: 0/59, node id: 21, n: 24
48721264:13:{rd 12 res} diss: 00000003, fin: 0/59, node id: 13, n: 24
48721406:15:{rd 12 res} diss: 00000003, fin: 0/59, node id: 15, n: 24
64619203:9:{rd 16 res} diss: 00000003, fin: 17/34, node id: 9, n: 24
64623136:6:{rd 16 res} diss: 00000003, fin: 18/35, node id: 6, n: 24
64623204:11:{rd 16 res} diss: 00000003, fin: 18/35, node id: 11, n: 24
64623324:23:{rd 16 res} diss: 00000003, fin: 18/35, node id: 23, n: 24
64623329:19:{rd 16 res} diss: 00000003, fin: 18/35, node id: 19, n: 24
64623431:22:{rd 16 res} diss: 00000003, fin: 18/35, node id: 22, n: 24
64627122:7:{rd 16 res} diss: 00000003, fin: 19/36, node id: 7, n: 24
64627153:16:{rd 16 res} diss: 00000003, fin: 19/36, node id: 16, n: 24
64627188:17:{rd 16 res} diss: 00000003, fin: 19/36, node id: 17, n: 24
64627242:12:{rd 16 res} diss: 00000003, fin: 19/36, node id: 12, n: 24
64627292:13:{rd 16 res} diss: 00000003, fin: 19/36, node id: 13, n: 24
64630976:3:{rd 16 res} diss: 00000003, fin: 19/37, node id: 3, n: 24
64631036:24:{rd 16 res} diss: 00000003, fin: 20/37, node id: 24, n: 24
64634869:5:{rd 16 res} diss: 00000003, fin: 21/38, node id: 5, n: 24
64634899:1:{rd 16 res} diss: 00000003, fin: 21/38, node id: 1, n: 24
64635064:10:{rd 16 res} diss: 00000003, fin: 21/38, node id: 10, n: 24
64638763:8:{rd 16 res} diss: 00000003, fin: 22/39, node id: 8, n: 24
64638772:2:{rd 16 res} diss: 00000003, fin: 22/39, node id: 2, n: 24
64638776:4:{rd 16 res} diss: 00000003, fin: 22/39, node id: 4, n: 24
64639054:20:{rd 16 res} diss: 00000003, fin: 22/39, node id: 20, n: 24
64642916:14:{rd 16 res} diss: 00000003, fin: 22/40, node id: 14, n: 24
64642932:18:{rd 16 res} diss: 00000003, fin: 23/40, node id: 18, n: 24
64643014:21:{rd 16 res} diss: 00000003, fin: 23/40, node id: 21, n: 24
64646805:15:{rd 16 res} diss: 00000003, fin: 24/41, node id: 15, n: 24
68614543:22:{rd 17 res} diss: 00000003, fin: 16/33, node id: 22, n: 24
68618571:13:{rd 17 res} diss: 00000003, fin: 16/34, node id: 13, n: 24
68626109:6:{rd 17 res} diss: 00000003, fin: 19/36, node id: 6, n: 24
68626129:3:{rd 17 res} diss: 00000003, fin: 19/36, node id: 3, n: 24
68626223:12:{rd 17 res} diss: 00000003, fin: 19/36, node id: 12, n: 24
68629902:9:{rd 17 res} diss: 00000003, fin: 20/37, node id: 9, n: 24
68630016:7:{rd 17 res} diss: 00000003, fin: 19/37, node id: 7, n: 24
68630164:21:{rd 17 res} diss: 00000003, fin: 20/37, node id: 21, n: 24
68630166:18:{rd 17 res} diss: 00000003, fin: 20/37, node id: 18, n: 24
68634077:15:{rd 17 res} diss: 00000003, fin: 20/38, node id: 15, n: 24
68634135:20:{rd 17 res} diss: 00000003, fin: 21/38, node id: 20, n: 24
68637770:8:{rd 17 res} diss: 00000003, fin: 22/39, node id: 8, n: 24
68637836:16:{rd 17 res} diss: 00000003, fin: 22/39, node id: 16, n: 24
68637912:1:{rd 17 res} diss: 00000003, fin: 22/39, node id: 1, n: 24
68637955:17:{rd 17 res} diss: 00000003, fin: 22/39, node id: 17, n: 24
68638086:24:{rd 17 res} diss: 00000003, fin: 22/39, node id: 24, n: 24
68641764:2:{rd 17 res} diss: 00000003, fin: 23/40, node id: 2, n: 24
68641766:10:{rd 17 res} diss: 00000003, fin: 23/40, node id: 10, n: 24
68641767:23:{rd 17 res} diss: 00000003, fin: 23/40, node id: 23, n: 24
68641785:4:{rd 17 res} diss: 00000003, fin: 23/40, node id: 4, n: 24
68641786:5:{rd 17 res} diss: 00000003, fin: 23/40, node id: 5, n: 24
68641821:19:{rd 17 res} diss: 00000003, fin: 23/40, node id: 19, n: 24
68641923:14:{rd 17 res} diss: 00000003, fin: 23/40, node id: 14, n: 24
68641982:11:{rd 17 res} diss: 00000003, fin: 23/40, node id: 11, n: 24
72617521:14:{rd 18 res} diss: 00000003, fin: 17/34, node id: 14, n: 24
72621091:2:{rd 18 res} diss: 00000003, fin: 18/35, node id: 2, n: 24
72621104:8:{rd 18 res} diss: 00000003, fin: 18/35, node id: 8, n: 24
72621128:4:{rd 18 res} diss: 00000003, fin: 18/35, node id: 4, n: 24
72621368:21:{rd 18 res} diss: 00000003, fin: 18/35, node id: 21, n: 24
72621393:16:{rd 18 res} diss: 00000003, fin: 18/35, node id: 16, n: 24
72625036:3:{rd 18 res} diss: 00000003, fin: 19/36, node id: 3, n: 24
72625124:10:{rd 18 res} diss: 00000003, fin: 19/36, node id: 10, n: 24
72625138:18:{rd 18 res} diss: 00000003, fin: 19/36, node id: 18, n: 24
72625190:17:{rd 18 res} diss: 00000003, fin: 19/36, node id: 17, n: 24
72625280:23:{rd 18 res} diss: 00000003, fin: 19/36, node id: 23, n: 24
72625288:15:{rd 18 res} diss: 00000003, fin: 19/36, node id: 15, n: 24
72629005:5:{rd 18 res} diss: 00000003, fin: 20/37, node id: 5, n: 24
72629084:7:{rd 18 res} diss: 00000003, fin: 20/37, node id: 7, n: 24
72629092:9:{rd 18 res} diss: 00000003, fin: 20/37, node id: 9, n: 24
72629104:20:{rd 18 res} diss: 00000003, fin: 20/37, node id: 20, n: 24
72629169:11:{rd 18 res} diss: 00000003, fin: 20/37, node id: 11, n: 24
72629187:22:{rd 18 res} diss: 00000003, fin: 20/37, node id: 22, n: 24
72629195:19:{rd 18 res} diss: 00000003, fin: 20/37, node id: 19, n: 24
72629217:24:{rd 18 res} diss: 00000003, fin: 20/37, node id: 24, n: 24
72629271:12:{rd 18 res} diss: 00000003, fin: 20/37, node id: 12, n: 24
72632807:1:{rd 18 res} diss: 00000003, fin: 20/38, node id: 1, n: 24
72632845:6:{rd 18 res} diss: 00000003, fin: 21/38, node id: 6, n: 24
72633077:13:{rd 18 res} diss: 00000003, fin: 20/38, node id: 13, n: 24
76620339:14:{rd 19 res} diss: 00000003, fin: 18/35, node id: 14, n: 24
76624116:8:{rd 19 res} diss: 00000003, fin: 19/36, node id: 8, n: 24
76624146:2:{rd 19 res} diss: 00000003, fin: 19/36, node id: 2, n: 24
76624224:4:{rd 19 res} diss: 00000003, fin: 19/36, node id: 4, n: 24
76628099:5:{rd 19 res} diss: 00000003, fin: 20/37, node id: 5, n: 24
76628161:10:{rd 19 res} diss: 00000003, fin: 20/37, node id: 10, n: 24
76628234:16:{rd 19 res} diss: 00000003, fin: 20/37, node id: 16, n: 24
76631977:17:{rd 19 res} diss: 00000003, fin: 21/38, node id: 17, n: 24
76632085:23:{rd 19 res} diss: 00000003, fin: 21/38, node id: 23, n: 24
76632088:24:{rd 19 res} diss: 00000003, fin: 21/38, node id: 24, n: 24
76632144:19:{rd 19 res} diss: 00000003, fin: 21/38, node id: 19, n: 24
76635895:9:{rd 19 res} diss: 00000003, fin: 22/39, node id: 9, n: 24
76636079:11:{rd 19 res} diss: 00000003, fin: 22/39, node id: 11, n: 24
76639843:1:{rd 19 res} diss: 00000003, fin: 23/40, node id: 1, n: 24
76639863:6:{rd 19 res} diss: 00000003, fin: 23/40, node id: 6, n: 24
76639916:20:{rd 19 res} diss: 00000003, fin: 23/40, node id: 20, n: 24
76643785:18:{rd 19 res} diss: 00000003, fin: 24/41, node id: 18, n: 24
76643820:12:{rd 19 res} diss: 00000003, fin: 24/41, node id: 12, n: 24
76643823:15:{rd 19 res} diss: 00000003, fin: 24/41, node id: 15, n: 24
76643845:22:{rd 19 res} diss: 00000003, fin: 24/41, node id: 22, n: 24
76643964:21:{rd 19 res} diss: 00000003, fin: 24/41, node id: 21, n: 24
76647487:7:{rd 19 res} diss: 00000003, fin: 25/42, node id: 7, n: 24
76647714:3:{rd 19 res} diss: 00000003, fin: 25/42, node id: 3, n: 24
76647848:13:{rd 19 res} diss: 00000003, fin: 25/42, node id: 13, n: 24
80611497:6:{rd 20 res} diss: 00000003, fin: 16/33, node id: 6, n: 24
80615295:9:{rd 20 res} diss: 00000003, fin: 17/34, node id: 9, n: 24
80615449:16:{rd 20 res} diss: 00000003, fin: 17/34, node id: 16, n: 24
