21651596:12:{rd 7 res} diss: 00000003, fin: 9/26, node id: 12, n: 12
21655515:5:{rd 7 res} diss: 00000003, fin: 10/27, node id: 5, n: 12
21655545:8:{rd 7 res} diss: 00000003, fin: 10/27, node id: 8, n: 12
21655603:7:{rd 7 res} diss: 00000003, fin: 10/27, node id: 7, n: 12
21655610:11:{rd 7 res} diss: 00000003, fin: 10/27, node id: 11, n: 12
21659426:4:{rd 7 res} diss: 00000003, fin: 11/28, node id: 4, n: 12
21659463:2:{rd 7 res} diss: 00000003, fin: 11/28, node id: 2, n: 12
21663522:6:{rd 7 res} diss: 00000003, fin: 12/29, node id: 6, n: 12
21663541:3:{rd 7 res} diss: 00000003, fin: 12/29, node id: 3, n: 12
21663748:1:{rd 7 res} diss: 00000003, fin: 12/29, node id: 1, n: 12
21664169:10:{rd 7 res} diss: 00000003, fin: 12/29, node id: 10, n: 12
21667642:9:{rd 7 res} diss: 00000003, fin: 12/30, node id: 9, n: 12
24550568:2:{rd 8 res} diss: 00000003, fin: 9/26, node id: 2, n: 12
24554904:8:{rd 8 res} diss: 00000003, fin: 10/27, node id: 8, n: 12
24558720:4:{rd 8 res} diss: 00000003, fin: 11/28, node id: 4, n: 12
24558744:3:{rd 8 res} diss: 00000003, fin: 10/28, node id: 3, n: 12
24559002:11:{rd 8 res} diss: 00000003, fin: 11/28, node id: 11, n: 12
24562971:6:{rd 8 res} diss: 00000003, fin: 12/29, node id: 6, n: 12
24563045:1:{rd 8 res} diss: 00000003, fin: 12/29, node id: 1, n: 12
24563069:9:{rd 8 res} diss: 00000003, fin: 12/29, node id: 9, n: 12
24563205:10:{rd 8 res} diss: 00000003, fin: 12/29, node id: 10, n: 12
24567013:12:{rd 8 res} diss: 00000003, fin: 13/30, node id: 12, n: 12
24571175:5:{rd 8 res} diss: 00000003, fin: 13/31, node id: 5, n: 12
24571289:7:{rd 8 res} diss: 00000003, fin: 13/31, node id: 7, n: 12
27474615:12:{rd 9 res} diss: 00000003, fin: 10/32, node id: 12, n: 12
27493921:5:{rd 9 res} diss: 00000003, fin: 20/37, node id: 5, n: 12
27493925:2:{rd 9 res} diss: 00000003, fin: 20/37, node id: 2, n: 12
27493944:7:{rd 9 res} diss: 00000003, fin: 20/37, node id: 7, n: 12
27497726:8:{rd 9 res} diss: 00000003, fin: 20/38, node id: 8, n: 12
27497763:1:{rd 9 res} diss: 00000003, fin: 21/38, node id: 1, n: 12
27497843:4:{rd 9 res} diss: 00000003, fin: 21/38, node id: 4, n: 12
27497888:6:{rd 9 res} diss: 00000003, fin: 21/38, node id: 6, n: 12
27497892:3:{rd 9 res} diss: 00000003, fin: 21/38, node id: 3, n: 12
27498056:11:{rd 9 res} diss: 00000003, fin: 20/38, node id: 11, n: 12
27501637:9:{rd 9 res} diss: 00000003, fin: 22/39, node id: 9, n: 12
27502059:10:{rd 9 res} diss: 00000003, fin: 22/39, node id: 10, n: 12
30366506:7:{rd 10 res} diss: 00000003, fin: 13/30, node id: 7, n: 12
30366812:11:{rd 10 res} diss: 00000003, fin: 13/30, node id: 11, n: 12
30370477:5:{rd 10 res} diss: 00000003, fin: 14/31, node id: 5, n: 12
30370550:8:{rd 10 res} diss: 00000003, fin: 14/31, node id: 8, n: 12
30370591:12:{rd 10 res} diss: 00000003, fin: 14/31, node id: 12, n: 12
30382231:2:{rd 10 res} diss: 00000003, fin: 17/34, node id: 2, n: 12
30382278:9:{rd 10 res} diss: 00000003, fin: 17/34, node id: 9, n: 12
30382285:4:{rd 10 res} diss: 00000003, fin: 17/34, node id: 4, n: 12
30386174:10:{rd 10 res} diss: 00000003, fin: 18/35, node id: 10, n: 12
30386305:1:{rd 10 res} diss: 00000003, fin: 18/35, node id: 1, n: 12
30386305:3:{rd 10 res} diss: 00000003, fin: 18/35, node id: 3, n: 12
30386321:6:{rd 10 res} diss: 00000003, fin: 18/35, node id: 6, n: 12
33249479:7:{rd 11 res} diss: 00000003, fin: 9/26, node id: 7, n: 12
33249551:11:{rd 11 res} diss: 00000003, fin: 9/26, node id: 11, n: 12
33261519:4:{rd 11 res} diss: 00000003, fin: 12/29, node id: 4, n: 12
33261612:2:{rd 11 res} diss: 00000003, fin: 12/29, node id: 2, n: 12
33265559:9:{rd 11 res} diss: 00000003, fin: 13/30, node id: 9, n: 12
33265719:10:{rd 11 res} diss: 00000003, fin: 13/30, node id: 10, n: 12
33265782:6:{rd 11 res} diss: 00000003, fin: 13/30, node id: 6, n: 12
33265880:5:{rd 11 res} diss: 00000003, fin: 12/30, node id: 5, n: 12
33265948:1:{rd 11 res} diss: 00000003, fin: 13/30, node id: 1, n: 12
33265963:8:{rd 11 res} diss: 00000003, fin: 12/30, node id: 8, n: 12
33266076:12:{rd 11 res} diss: 00000003, fin: 12/30, node id: 12, n: 12
33269592:3:{rd 11 res} diss: 00000003, fin: 14/31, node id: 3, n: 12
36148833:2:{rd 12 res} diss: 00000003, fin: 9/26, node id: 2, n: 12
36152795:4:{rd 12 res} diss: 00000003, fin: 10/27, node id: 4, n: 12
36156661:5:{rd 12 res} diss: 00000003, fin: 11/28, node id: 5, n: 12
36156737:8:{rd 12 res} diss: 00000003, fin: 11/28, node id: 8, n: 12
36156751:7:{rd 12 res} diss: 00000003, fin: 11/28, node id: 7, n: 12
36157043:11:{rd 12 res} diss: 00000003, fin: 11/28, node id: 11, n: 12
36160747:1:{rd 12 res} diss: 00000003, fin: 12/29, node id: 1, n: 12
36161017:6:{rd 12 res} diss: 00000003, fin: 12/29, node id: 6, n: 12
36161034:12:{rd 12 res} diss: 00000003, fin: 12/29, node id: 12, n: 12
36161362:10:{rd 12 res} diss: 00000003, fin: 12/29, node id: 10, n: 12
36164809:3:{rd 12 res} diss: 00000003, fin: 13/30, node id: 3, n: 12
36164905:9:{rd 12 res} diss: 00000003, fin: 13/30, node id: 9, n: 12
39052140:6:{rd 13 res} diss: 00000003, fin: 10/27, node id: 6, n: 12
39055858:9:{rd 13 res} diss: 00000003, fin: 11/28, node id: 9, n: 12
39056139:10:{rd 13 res} diss: 00000003, fin: 11/28, node id: 10, n: 12
39060183:1:{rd 13 res} diss: 00000003, fin: 12/29, node id: 1, n: 12
39060204:4:{rd 13 res} diss: 00000003, fin: 12/29, node id: 4, n: 12
39060293:3:{rd 13 res} diss: 00000003, fin: 12/29, node id: 3, n: 12
39060484:2:{rd 13 res} diss: 00000003, fin: 12/29, node id: 2, n: 12
39064365:12:{rd 13 res} diss: 00000003, fin: 13/30, node id: 12, n: 12
39068212:8:{rd 13 res} diss: 00000003, fin: 14/31, node id: 8, n: 12
39068323:7:{rd 13 res} diss: 00000003, fin: 14/31, node id: 7, n: 12
39068479:5:{rd 13 res} diss: 00000003, fin: 14/31, node id: 5, n: 12
39068593:11:{rd 13 res} diss: 00000003, fin: 14/31, node id: 11, n: 12
41947165:5:{rd 14 res} diss: 00000003, fin: 9/26, node id: 5, n: 12
41947296:8:{rd 14 res} diss: 00000003, fin: 9/26, node id: 8, n: 12
41951366:7:{rd 14 res} diss: 00000003, fin: 10/27, node id: 7, n: 12
41951512:12:{rd 14 res} diss: 00000003, fin: 10/27, node id: 12, n: 12
41951538:11:{rd 14 res} diss: 00000003, fin: 10/27, node id: 11, n: 12
41959447:2:{rd 14 res} diss: 00000003, fin: 12/29, node id: 2, n: 12
41959646:4:{rd 14 res} diss: 00000003, fin: 12/29, node id: 4, n: 12
41963317:9:{rd 14 res} diss: 00000003, fin: 13/30, node id: 9, n: 12
41963769:1:{rd 14 res} diss: 00000003, fin: 13/30, node id: 1, n: 12
41963913:10:{rd 14 res} diss: 00000003, fin: 13/30, node id: 10, n: 12
41967357:3:{rd 14 res} diss: 00000003, fin: 14/31, node id: 3, n: 12
41967765:6:{rd 14 res} diss: 00000003, fin: 13/31, node id: 6, n: 12
44894767:11:{rd 15 res} diss: 00000003, fin: 21/38, node id: 11, n: 12
44898197:3:{rd 15 res} diss: 00000003, fin: 22/39, node id: 3, n: 12
44898365:7:{rd 15 res} diss: 00000003, fin: 22/39, node id: 7, n: 12
44898435:8:{rd 15 res} diss: 00000003, fin: 22/39, node id: 8, n: 12
44898451:2:{rd 15 res} diss: 00000003, fin: 22/39, node id: 2, n: 12
44898462:5:{rd 15 res} diss: 00000003, fin: 22/39, node id: 5, n: 12
44898640:12:{rd 15 res} diss: 00000003, fin: 22/39, node id: 12, n: 12
44902185:4:{rd 15 res} diss: 00000003, fin: 23/40, node id: 4, n: 12
44902198:9:{rd 15 res} diss: 00000003, fin: 23/40, node id: 9, n: 12
44902223:1:{rd 15 res} diss: 00000003, fin: 23/40, node id: 1, n: 12
44902421:6:{rd 15 res} diss: 00000003, fin: 23/40, node id: 6, n: 12
