18962099:1:{rd 6 res} diss: 00000003, fin: 6/23, node id: 1, n: 6
18965955:6:{rd 6 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
18969957:2:{rd 6 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
18973770:4:{rd 6 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
18973775:5:{rd 6 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
18977728:3:{rd 6 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
21857479:4:{rd 7 res} diss: 00000003, fin: 4/22, node id: 4, n: 6
21857557:3:{rd 7 res} diss: 00000003, fin: 5/22, node id: 3, n: 6
21861362:2:{rd 7 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
21861403:5:{rd 7 res} diss: 00000003, fin: 6/23, node id: 5, n: 6
21865348:1:{rd 7 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
21869273:6:{rd 7 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
24760666:6:{rd 8 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
24764528:5:{rd 8 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
24764691:2:{rd 8 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
24764705:1:{rd 8 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
24768307:3:{rd 8 res} diss: 00000003, fin: 8/25, node id: 3, n: 6
24768562:4:{rd 8 res} diss: 00000003, fin: 7/25, node id: 4, n: 6
27663867:6:{rd 9 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
27667807:1:{rd 9 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
27667897:4:{rd 9 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
27671516:2:{rd 9 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
27675799:5:{rd 9 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
27679736:3:{rd 9 res} diss: 00000003, fin: 10/28, node id: 3, n: 6
30584347:1:{rd 10 res} diss: 00000003, fin: 12/29, node id: 1, n: 6
30588218:6:{rd 10 res} diss: 00000003, fin: 12/30, node id: 6, n: 6
30588295:2:{rd 10 res} diss: 00000003, fin: 13/30, node id: 2, n: 6
30588322:4:{rd 10 res} diss: 00000003, fin: 13/30, node id: 4, n: 6
30591890:3:{rd 10 res} diss: 00000003, fin: 14/31, node id: 3, n: 6
30592058:5:{rd 10 res} diss: 00000003, fin: 14/31, node id: 5, n: 6
33451516:1:{rd 11 res} diss: 00000003, fin: 4/21, node id: 1, n: 6
33467112:6:{rd 11 res} diss: 00000003, fin: 7/25, node id: 6, n: 6
33471049:2:{rd 11 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
33471058:4:{rd 11 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
33475070:5:{rd 11 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
33478947:3:{rd 11 res} diss: 00000003, fin: 10/28, node id: 3, n: 6
36402527:1:{rd 12 res} diss: 00000003, fin: 17/34, node id: 1, n: 6
36406471:4:{rd 12 res} diss: 00000003, fin: 18/35, node id: 4, n: 6
36406479:2:{rd 12 res} diss: 00000003, fin: 18/35, node id: 2, n: 6
36406526:5:{rd 12 res} diss: 00000003, fin: 18/35, node id: 5, n: 6
36410334:3:{rd 12 res} diss: 00000003, fin: 19/36, node id: 3, n: 6
36410486:6:{rd 12 res} diss: 00000003, fin: 19/36, node id: 6, n: 6
39253916:1:{rd 13 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
39257728:2:{rd 13 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
39257876:6:{rd 13 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
39257882:4:{rd 13 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
39261779:5:{rd 13 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
39261824:3:{rd 13 res} diss: 00000003, fin: 7/24, node id: 3, n: 6
42153241:1:{rd 14 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
42153341:6:{rd 14 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
42157143:2:{rd 14 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
42157303:4:{rd 14 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
42161168:5:{rd 14 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
42164965:3:{rd 14 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
45068136:4:{rd 15 res} diss: 00000003, fin: 4/26, node id: 4, n: 6
45080419:2:{rd 15 res} diss: 00000003, fin: 12/29, node id: 2, n: 6
45080808:1:{rd 15 res} diss: 00000003, fin: 12/29, node id: 1, n: 6
45084508:3:{rd 15 res} diss: 00000003, fin: 13/30, node id: 3, n: 6
45084612:6:{rd 15 res} diss: 00000003, fin: 12/30, node id: 6, n: 6
45088562:5:{rd 15 res} diss: 00000003, fin: 13/31, node id: 5, n: 6
47951806:6:{rd 16 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
47951842:1:{rd 16 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
47955845:4:{rd 16 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
47955882:2:{rd 16 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
47959650:5:{rd 16 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
47963397:3:{rd 16 res} diss: 00000003, fin: 8/25, node id: 3, n: 6
50866739:1:{rd 17 res} diss: 00000003, fin: 5/26, node id: 1, n: 6
50879502:4:{rd 17 res} diss: 00000003, fin: 12/29, node id: 4, n: 6
50883237:5:{rd 17 res} diss: 00000003, fin: 13/30, node id: 5, n: 6
50883245:2:{rd 17 res} diss: 00000003, fin: 13/30, node id: 2, n: 6
50887119:3:{rd 17 res} diss: 00000003, fin: 14/31, node id: 3, n: 6
50926177:6:{rd 17 res} diss: 00000003, fin: 13/41, node id: 6, n: 6
53758171:6:{rd 18 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
53762206:2:{rd 18 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
53762246:1:{rd 18 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
53765994:5:{rd 18 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
53766147:4:{rd 18 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
53770171:3:{rd 18 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
56653555:4:{rd 19 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
56653613:6:{rd 19 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
56657479:2:{rd 19 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
56657525:1:{rd 19 res} diss: 00000003, fin: 5/24, node id: 1, n: 6
56657694:3:{rd 19 res} diss: 00000003, fin: 7/24, node id: 3, n: 6
56661441:5:{rd 19 res} diss: 00000003, fin: 8/25, node id: 5, n: 6
59553040:1:{rd 20 res} diss: 00000003, fin: 6/23, node id: 1, n: 6
59556904:6:{rd 20 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
59560782:2:{rd 20 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
59560833:4:{rd 20 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
59564746:5:{rd 20 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
59568581:3:{rd 20 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
62448149:1:{rd 21 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
62452159:6:{rd 21 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
62452290:3:{rd 21 res} diss: 00000003, fin: 6/23, node id: 3, n: 6
62452296:4:{rd 21 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
62456095:5:{rd 21 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
62456180:2:{rd 21 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
65351533:6:{rd 22 res} diss: 00000003, fin: 6/23, node id: 6, n: 6
65355379:1:{rd 22 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
65355418:4:{rd 22 res} diss: 00000003, fin: 7/24, node id: 4, n: 6
65359235:2:{rd 22 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
65359379:5:{rd 22 res} diss: 00000003, fin: 8/25, node id: 5, n: 6
65363172:3:{rd 22 res} diss: 00000003, fin: 8/26, node id: 3, n: 6
68250800:2:{rd 23 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
68250869:4:{rd 23 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
68254754:1:{rd 23 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
68254843:6:{rd 23 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
68254851:5:{rd 23 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
68258646:3:{rd 23 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
71154112:1:{rd 24 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
71158054:6:{rd 24 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
71161679:4:{rd 24 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
71161837:2:{rd 24 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
71165959:3:{rd 24 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
71169684:5:{rd 24 res} diss: 00000003, fin: 10/28, node id: 5, n: 6
74049400:6:{rd 25 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
74049418:4:{rd 25 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
74053264:5:{rd 25 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
74053333:1:{rd 25 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
74053472:2:{rd 25 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
74057090:3:{rd 25 res} diss: 00000003, fin: 8/25, node id: 3, n: 6
76952678:1:{rd 26 res} diss: 00000003, fin: 7/24, node id: 1, n: 6
76956538:6:{rd 26 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
76956605:2:{rd 26 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
76956638:4:{rd 26 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
76960418:5:{rd 26 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
76964323:3:{rd 26 res} diss: 00000003, fin: 9/27, node id: 3, n: 6
79851813:5:{rd 27 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
79855837:3:{rd 27 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
