32668147:34:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 40
32672176:15:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 40
32672188:30:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 40
32672233:35:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 40
32684214:3:{rd 8 res} read: 3, ts: 1, fin: 17/38, writer id: 1, n: 40
32684220:10:{rd 8 res} read: 3, ts: 1, fin: 17/38, writer id: 1, n: 40
32684430:23:{rd 8 res} read: 3, ts: 1, fin: 17/38, writer id: 1, n: 40
32687889:32:{rd 8 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
32687898:21:{rd 8 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
32688104:6:{rd 8 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
32688114:18:{rd 8 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
32688332:28:{rd 8 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
32692150:27:{rd 8 res} read: 3, ts: 1, fin: 17/40, writer id: 1, n: 40
32692164:1:{rd 8 res} read: 3, ts: 1, fin: 17/40, writer id: 1, n: 40
32692191:36:{rd 8 res} read: 3, ts: 1, fin: 19/40, writer id: 1, n: 40
32695996:29:{rd 8 res} read: 3, ts: 1, fin: 14/41, writer id: 1, n: 40
32696016:22:{rd 8 res} read: 3, ts: 1, fin: 14/41, writer id: 1, n: 40
32696034:39:{rd 8 res} read: 3, ts: 1, fin: 18/41, writer id: 1, n: 40
32696096:4:{rd 8 res} read: 3, ts: 1, fin: 20/41, writer id: 1, n: 40
32703925:25:{rd 8 res} read: 3, ts: 1, fin: 18/43, writer id: 1, n: 40
32707665:11:{rd 8 res} read: 3, ts: 1, fin: 19/44, writer id: 1, n: 40
32707799:24:{rd 8 res} read: 3, ts: 1, fin: 19/44, writer id: 1, n: 40
32707870:14:{rd 8 res} read: 3, ts: 1, fin: 19/44, writer id: 1, n: 40
32711739:40:{rd 8 res} read: 3, ts: 1, fin: 18/45, writer id: 1, n: 40
32762597:13:{rd 8 res} read: 3, ts: 1, fin: 18/58, writer id: 1, n: 40
32762698:16:{rd 8 res} read: 3, ts: 1, fin: 17/58, writer id: 1, n: 40
32766430:33:{rd 8 res} read: 3, ts: 1, fin: 18/59, writer id: 1, n: 40
32766443:7:{rd 8 res} read: 3, ts: 1, fin: 18/59, writer id: 1, n: 40
32766485:26:{rd 8 res} read: 3, ts: 1, fin: 18/59, writer id: 1, n: 40
32774353:2:{rd 8 res} read: 3, ts: 1, fin: 20/61, writer id: 1, n: 40
32774472:20:{rd 8 res} read: 3, ts: 1, fin: 20/61, writer id: 1, n: 40
32778230:38:{rd 8 res} read: 3, ts: 1, fin: 19/62, writer id: 1, n: 40
32782167:31:{rd 8 res} read: 3, ts: 1, fin: 19/63, writer id: 1, n: 40
32789980:17:{rd 8 res} read: 3, ts: 1, fin: 14/65, writer id: 1, n: 40
32790088:8:{rd 8 res} read: 3, ts: 1, fin: 14/65, writer id: 1, n: 40
32793869:5:{rd 8 res} read: 3, ts: 1, fin: 18/66, writer id: 1, n: 40
32793902:37:{rd 8 res} read: 3, ts: 1, fin: 19/66, writer id: 1, n: 40
32797728:12:{rd 8 res} read: 3, ts: 1, fin: 18/67, writer id: 1, n: 40
32797839:19:{rd 8 res} read: 3, ts: 1, fin: 18/67, writer id: 1, n: 40
32801633:9:{rd 8 res} read: 3, ts: 1, fin: 17/68, writer id: 1, n: 40
36667235:25:{rd 9 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 40
36671117:33:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 40
36671301:17:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 40
36671327:5:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 40
36671339:13:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 40
36675130:32:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 40
36675161:21:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 40
36675163:23:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 40
36675318:3:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 40
36678485:1:{rd 9 res} written: 4, ts: 2, fin: 16/37, n: 40
36679084:38:{rd 9 res} read: 4, ts: 2, fin: 16/37, writer id: 1, n: 40
36679208:7:{rd 9 res} read: 4, ts: 2, fin: 14/37, writer id: 1, n: 40
36682591:40:{rd 9 res} written: 82, ts: 2, fin: 17/38, n: 40
36683035:26:{rd 9 res} read: 4, ts: 2, fin: 17/38, writer id: 1, n: 40
36687340:19:{rd 9 res} read: 4, ts: 2, fin: 14/39, writer id: 1, n: 40
36687397:16:{rd 9 res} read: 4, ts: 2, fin: 14/39, writer id: 1, n: 40
36691046:10:{rd 9 res} read: 4, ts: 2, fin: 13/40, writer id: 1, n: 40
36691193:34:{rd 9 res} read: 4, ts: 2, fin: 16/40, writer id: 1, n: 40
36694965:35:{rd 9 res} read: 4, ts: 2, fin: 16/41, writer id: 1, n: 40
36698895:30:{rd 9 res} read: 4, ts: 2, fin: 16/42, writer id: 1, n: 40
36718630:39:{rd 9 res} read: 4, ts: 2, fin: 16/47, writer id: 1, n: 40
36746032:31:{rd 9 res} read: 4, ts: 2, fin: 13/54, writer id: 1, n: 40
36749837:29:{rd 9 res} read: 4, ts: 2, fin: 14/55, writer id: 1, n: 40
