59416417:2:{rd 20 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
59420090:6:{rd 20 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
59420414:5:{rd 20 res} diss: 00000003, fin: 7/25, node id: 5, n: 6
59420433:4:{rd 20 res} diss: 00000003, fin: 8/25, node id: 4, n: 6
59424212:3:{rd 20 res} diss: 00000003, fin: 9/26, node id: 3, n: 6
59424236:1:{rd 20 res} diss: 00000003, fin: 9/26, node id: 1, n: 6
62339912:6:{rd 21 res} diss: 00000003, fin: 5/30, node id: 6, n: 6
62351740:2:{rd 21 res} diss: 00000003, fin: 16/33, node id: 2, n: 6
62351811:4:{rd 21 res} diss: 00000003, fin: 16/33, node id: 4, n: 6
62355768:1:{rd 21 res} diss: 00000003, fin: 16/34, node id: 1, n: 6
62355840:5:{rd 21 res} diss: 00000003, fin: 17/34, node id: 5, n: 6
62359817:3:{rd 21 res} diss: 00000003, fin: 18/35, node id: 3, n: 6
65298175:4:{rd 22 res} diss: 00000003, fin: 28/45, node id: 4, n: 6
65302142:1:{rd 22 res} diss: 00000003, fin: 29/46, node id: 1, n: 6
65302148:2:{rd 22 res} diss: 00000003, fin: 29/46, node id: 2, n: 6
65302215:5:{rd 22 res} diss: 00000003, fin: 29/46, node id: 5, n: 6
65306008:6:{rd 22 res} diss: 00000003, fin: 29/47, node id: 6, n: 6
65306499:3:{rd 22 res} diss: 00000003, fin: 30/47, node id: 3, n: 6
68146618:6:{rd 23 res} diss: 00000003, fin: 15/32, node id: 6, n: 6
68150422:1:{rd 23 res} diss: 00000003, fin: 16/33, node id: 1, n: 6
68150524:2:{rd 23 res} diss: 00000003, fin: 16/33, node id: 2, n: 6
68154348:4:{rd 23 res} diss: 00000003, fin: 16/34, node id: 4, n: 6
68154712:3:{rd 23 res} diss: 00000003, fin: 17/34, node id: 3, n: 6
68158106:5:{rd 23 res} diss: 00000003, fin: 17/35, node id: 5, n: 6
71005748:1:{rd 24 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
71009589:4:{rd 24 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
71009671:2:{rd 24 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
71009758:6:{rd 24 res} diss: 00000003, fin: 5/23, node id: 6, n: 6
71013611:5:{rd 24 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
71017602:3:{rd 24 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
73912922:6:{rd 25 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
73916786:1:{rd 25 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
73920752:2:{rd 25 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
73924619:3:{rd 25 res} diss: 00000003, fin: 10/27, node id: 3, n: 6
73924823:4:{rd 25 res} diss: 00000003, fin: 10/27, node id: 4, n: 6
73929105:5:{rd 25 res} diss: 00000003, fin: 11/28, node id: 5, n: 6
76832665:2:{rd 26 res} diss: 00000003, fin: 12/29, node id: 2, n: 6
76832665:6:{rd 26 res} diss: 00000003, fin: 12/29, node id: 6, n: 6
76836448:4:{rd 26 res} diss: 00000003, fin: 13/30, node id: 4, n: 6
76836543:5:{rd 26 res} diss: 00000003, fin: 13/30, node id: 5, n: 6
76836588:1:{rd 26 res} diss: 00000003, fin: 13/30, node id: 1, n: 6
76840312:3:{rd 26 res} diss: 00000003, fin: 14/31, node id: 3, n: 6
79715363:2:{rd 27 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
79719267:5:{rd 27 res} diss: 00000003, fin: 9/26, node id: 5, n: 6
79719298:4:{rd 27 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
79719349:1:{rd 27 res} diss: 00000003, fin: 9/26, node id: 1, n: 6
79723178:6:{rd 27 res} diss: 00000003, fin: 9/27, node id: 6, n: 6
