28923571:8:{rd 7 res} diss: 00000003, fin: 16/33, node id: 8, n: 12
28927455:4:{rd 7 res} diss: 00000003, fin: 17/34, node id: 4, n: 12
28927458:5:{rd 7 res} diss: 00000003, fin: 17/34, node id: 5, n: 12
28927469:9:{rd 7 res} diss: 00000003, fin: 17/34, node id: 9, n: 12
28927565:6:{rd 7 res} diss: 00000003, fin: 17/34, node id: 6, n: 12
28927635:2:{rd 7 res} diss: 00000003, fin: 17/34, node id: 2, n: 12
28931350:1:{rd 7 res} diss: 00000003, fin: 18/35, node id: 1, n: 12
28931470:7:{rd 7 res} diss: 00000003, fin: 18/35, node id: 7, n: 12
28931503:3:{rd 7 res} diss: 00000003, fin: 18/35, node id: 3, n: 12
28931526:11:{rd 7 res} diss: 00000003, fin: 18/35, node id: 11, n: 12
28931688:12:{rd 7 res} diss: 00000003, fin: 18/35, node id: 12, n: 12
28935553:10:{rd 7 res} diss: 00000003, fin: 18/36, node id: 10, n: 12
32926558:7:{rd 8 res} diss: 00000003, fin: 13/34, node id: 7, n: 12
32930711:11:{rd 8 res} diss: 00000003, fin: 13/35, node id: 11, n: 12
32938137:6:{rd 8 res} diss: 00000003, fin: 20/37, node id: 6, n: 12
32938203:2:{rd 8 res} diss: 00000003, fin: 20/37, node id: 2, n: 12
32938400:5:{rd 8 res} diss: 00000003, fin: 20/37, node id: 5, n: 12
32938417:4:{rd 8 res} diss: 00000003, fin: 20/37, node id: 4, n: 12
32942146:3:{rd 8 res} diss: 00000003, fin: 21/38, node id: 3, n: 12
32942179:9:{rd 8 res} diss: 00000003, fin: 21/38, node id: 9, n: 12
32942241:8:{rd 8 res} diss: 00000003, fin: 21/38, node id: 8, n: 12
32942277:1:{rd 8 res} diss: 00000003, fin: 21/38, node id: 1, n: 12
32942380:12:{rd 8 res} diss: 00000003, fin: 21/38, node id: 12, n: 12
32946311:10:{rd 8 res} diss: 00000003, fin: 22/39, node id: 10, n: 12
36925562:1:{rd 9 res} diss: 00000003, fin: 17/34, node id: 1, n: 12
36925593:5:{rd 9 res} diss: 00000003, fin: 17/34, node id: 5, n: 12
36925616:6:{rd 9 res} diss: 00000003, fin: 17/34, node id: 6, n: 12
36929360:7:{rd 9 res} diss: 00000003, fin: 18/35, node id: 7, n: 12
36929383:3:{rd 9 res} diss: 00000003, fin: 18/35, node id: 3, n: 12
36929495:9:{rd 9 res} diss: 00000003, fin: 18/35, node id: 9, n: 12
36929510:4:{rd 9 res} diss: 00000003, fin: 18/35, node id: 4, n: 12
36929518:8:{rd 9 res} diss: 00000003, fin: 18/35, node id: 8, n: 12
36929534:2:{rd 9 res} diss: 00000003, fin: 18/35, node id: 2, n: 12
36929620:11:{rd 9 res} diss: 00000003, fin: 18/35, node id: 11, n: 12
36929654:10:{rd 9 res} diss: 00000003, fin: 18/35, node id: 10, n: 12
36929692:12:{rd 9 res} diss: 00000003, fin: 18/35, node id: 12, n: 12
40917488:6:{rd 10 res} diss: 00000003, fin: 15/32, node id: 6, n: 12
40917528:4:{rd 10 res} diss: 00000003, fin: 15/32, node id: 4, n: 12
40921439:7:{rd 10 res} diss: 00000003, fin: 16/33, node id: 7, n: 12
40921449:5:{rd 10 res} diss: 00000003, fin: 16/33, node id: 5, n: 12
40921489:1:{rd 10 res} diss: 00000003, fin: 16/33, node id: 1, n: 12
40921498:9:{rd 10 res} diss: 00000003, fin: 16/33, node id: 9, n: 12
40921555:8:{rd 10 res} diss: 00000003, fin: 15/33, node id: 8, n: 12
40921659:12:{rd 10 res} diss: 00000003, fin: 16/33, node id: 12, n: 12
40921667:11:{rd 10 res} diss: 00000003, fin: 16/33, node id: 11, n: 12
40925274:3:{rd 10 res} diss: 00000003, fin: 17/34, node id: 3, n: 12
40925456:2:{rd 10 res} diss: 00000003, fin: 17/34, node id: 2, n: 12
40925562:10:{rd 10 res} diss: 00000003, fin: 17/34, node id: 10, n: 12
44896342:9:{rd 11 res} diss: 00000003, fin: 10/27, node id: 9, n: 12
44904480:3:{rd 11 res} diss: 00000003, fin: 12/29, node id: 3, n: 12
44904717:12:{rd 11 res} diss: 00000003, fin: 12/29, node id: 12, n: 12
44908354:11:{rd 11 res} diss: 00000003, fin: 13/30, node id: 11, n: 12
44908410:2:{rd 11 res} diss: 00000003, fin: 13/30, node id: 2, n: 12
44908422:5:{rd 11 res} diss: 00000003, fin: 13/30, node id: 5, n: 12
44908663:6:{rd 11 res} diss: 00000003, fin: 13/30, node id: 6, n: 12
44908758:4:{rd 11 res} diss: 00000003, fin: 13/30, node id: 4, n: 12
44912221:1:{rd 11 res} diss: 00000003, fin: 14/31, node id: 1, n: 12
44912487:10:{rd 11 res} diss: 00000003, fin: 14/31, node id: 10, n: 12
44912726:8:{rd 11 res} diss: 00000003, fin: 13/31, node id: 8, n: 12
44947543:7:{rd 11 res} diss: 00000003, fin: 15/40, node id: 7, n: 12
48938995:6:{rd 12 res} diss: 00000003, fin: 21/38, node id: 6, n: 12
48950702:5:{rd 12 res} diss: 00000003, fin: 24/41, node id: 5, n: 12
48950740:9:{rd 12 res} diss: 00000003, fin: 24/41, node id: 9, n: 12
48950775:7:{rd 12 res} diss: 00000003, fin: 24/41, node id: 7, n: 12
48950901:2:{rd 12 res} diss: 00000003, fin: 24/41, node id: 2, n: 12
48954647:1:{rd 12 res} diss: 00000003, fin: 25/42, node id: 1, n: 12
48954668:8:{rd 12 res} diss: 00000003, fin: 24/42, node id: 8, n: 12
48954700:3:{rd 12 res} diss: 00000003, fin: 25/42, node id: 3, n: 12
48954772:4:{rd 12 res} diss: 00000003, fin: 24/42, node id: 4, n: 12
48954921:11:{rd 12 res} diss: 00000003, fin: 25/42, node id: 11, n: 12
48954965:12:{rd 12 res} diss: 00000003, fin: 25/42, node id: 12, n: 12
48958926:10:{rd 12 res} diss: 00000003, fin: 26/43, node id: 10, n: 12
52910341:3:{rd 13 res} diss: 00000003, fin: 14/31, node id: 3, n: 12
52910359:1:{rd 13 res} diss: 00000003, fin: 14/31, node id: 1, n: 12
52914638:9:{rd 13 res} diss: 00000003, fin: 15/32, node id: 9, n: 12
52914781:10:{rd 13 res} diss: 00000003, fin: 14/32, node id: 10, n: 12
52914853:12:{rd 13 res} diss: 00000003, fin: 14/32, node id: 12, n: 12
52918556:4:{rd 13 res} diss: 00000003, fin: 16/33, node id: 4, n: 12
52918557:5:{rd 13 res} diss: 00000003, fin: 16/33, node id: 5, n: 12
52918613:6:{rd 13 res} diss: 00000003, fin: 16/33, node id: 6, n: 12
52918623:11:{rd 13 res} diss: 00000003, fin: 16/33, node id: 11, n: 12
52918674:2:{rd 13 res} diss: 00000003, fin: 16/33, node id: 2, n: 12
52922388:7:{rd 13 res} diss: 00000003, fin: 17/34, node id: 7, n: 12
52922494:8:{rd 13 res} diss: 00000003, fin: 16/34, node id: 8, n: 12
56893389:5:{rd 14 res} diss: 00000003, fin: 10/27, node id: 5, n: 12
56897266:4:{rd 14 res} diss: 00000003, fin: 11/28, node id: 4, n: 12
56897344:8:{rd 14 res} diss: 00000003, fin: 11/28, node id: 8, n: 12
56897360:6:{rd 14 res} diss: 00000003, fin: 11/28, node id: 6, n: 12
56901431:9:{rd 14 res} diss: 00000003, fin: 12/29, node id: 9, n: 12
56901553:1:{rd 14 res} diss: 00000003, fin: 12/29, node id: 1, n: 12
56901589:11:{rd 14 res} diss: 00000003, fin: 12/29, node id: 11, n: 12
56901620:7:{rd 14 res} diss: 00000003, fin: 12/29, node id: 7, n: 12
56901636:2:{rd 14 res} diss: 00000003, fin: 12/29, node id: 2, n: 12
56905267:3:{rd 14 res} diss: 00000003, fin: 13/30, node id: 3, n: 12
56905638:10:{rd 14 res} diss: 00000003, fin: 13/30, node id: 10, n: 12
56905697:12:{rd 14 res} diss: 00000003, fin: 13/30, node id: 12, n: 12
60924313:7:{rd 15 res} diss: 00000003, fin: 18/35, node id: 7, n: 12
60936094:3:{rd 15 res} diss: 00000003, fin: 21/38, node id: 3, n: 12
60936144:5:{rd 15 res} diss: 00000003, fin: 21/38, node id: 5, n: 12
