36836980:23:{rd 9 res} diss: 00000003, fin: 14/31, node id: 23, n: 24
36840981:11:{rd 9 res} diss: 00000003, fin: 15/32, node id: 11, n: 24
36844736:9:{rd 9 res} diss: 00000003, fin: 16/33, node id: 9, n: 24
36848643:17:{rd 9 res} diss: 00000003, fin: 17/34, node id: 17, n: 24
36848647:6:{rd 9 res} diss: 00000003, fin: 17/34, node id: 6, n: 24
36848775:22:{rd 9 res} diss: 00000003, fin: 17/34, node id: 22, n: 24
36852531:4:{rd 9 res} diss: 00000003, fin: 18/35, node id: 4, n: 24
36852629:19:{rd 9 res} diss: 00000003, fin: 17/35, node id: 19, n: 24
36852663:13:{rd 9 res} diss: 00000003, fin: 18/35, node id: 13, n: 24
36852691:12:{rd 9 res} diss: 00000003, fin: 18/35, node id: 12, n: 24
36852795:21:{rd 9 res} diss: 00000003, fin: 18/35, node id: 21, n: 24
36852821:3:{rd 9 res} diss: 00000003, fin: 18/35, node id: 3, n: 24
36856400:7:{rd 9 res} diss: 00000003, fin: 19/36, node id: 7, n: 24
36856412:15:{rd 9 res} diss: 00000003, fin: 19/36, node id: 15, n: 24
36856424:8:{rd 9 res} diss: 00000003, fin: 19/36, node id: 8, n: 24
36856538:16:{rd 9 res} diss: 00000003, fin: 19/36, node id: 16, n: 24
36856616:18:{rd 9 res} diss: 00000003, fin: 19/36, node id: 18, n: 24
36864418:10:{rd 9 res} diss: 00000003, fin: 21/38, node id: 10, n: 24
36868203:5:{rd 9 res} diss: 00000003, fin: 22/39, node id: 5, n: 24
36868260:2:{rd 9 res} diss: 00000003, fin: 21/39, node id: 2, n: 24
36868284:20:{rd 9 res} diss: 00000003, fin: 22/39, node id: 20, n: 24
36868365:24:{rd 9 res} diss: 00000003, fin: 22/39, node id: 24, n: 24
36872069:1:{rd 9 res} diss: 00000003, fin: 22/40, node id: 1, n: 24
36872266:14:{rd 9 res} diss: 00000003, fin: 21/40, node id: 14, n: 24
40848225:6:{rd 10 res} diss: 00000003, fin: 17/34, node id: 6, n: 24
40848526:19:{rd 10 res} diss: 00000003, fin: 17/34, node id: 19, n: 24
40848565:16:{rd 10 res} diss: 00000003, fin: 17/34, node id: 16, n: 24
40852285:17:{rd 10 res} diss: 00000003, fin: 18/35, node id: 17, n: 24
40852300:23:{rd 10 res} diss: 00000003, fin: 18/35, node id: 23, n: 24
40852315:9:{rd 10 res} diss: 00000003, fin: 18/35, node id: 9, n: 24
40852486:11:{rd 10 res} diss: 00000003, fin: 18/35, node id: 11, n: 24
40856148:8:{rd 10 res} diss: 00000003, fin: 19/36, node id: 8, n: 24
40860102:4:{rd 10 res} diss: 00000003, fin: 20/37, node id: 4, n: 24
40860152:2:{rd 10 res} diss: 00000003, fin: 20/37, node id: 2, n: 24
40860157:14:{rd 10 res} diss: 00000003, fin: 20/37, node id: 14, n: 24
40860334:12:{rd 10 res} diss: 00000003, fin: 20/37, node id: 12, n: 24
40864027:5:{rd 10 res} diss: 00000003, fin: 21/38, node id: 5, n: 24
40864154:22:{rd 10 res} diss: 00000003, fin: 21/38, node id: 22, n: 24
40864250:13:{rd 10 res} diss: 00000003, fin: 21/38, node id: 13, n: 24
40864315:10:{rd 10 res} diss: 00000003, fin: 21/38, node id: 10, n: 24
40867819:3:{rd 10 res} diss: 00000003, fin: 22/39, node id: 3, n: 24
40867846:7:{rd 10 res} diss: 00000003, fin: 22/39, node id: 7, n: 24
40868160:21:{rd 10 res} diss: 00000003, fin: 22/39, node id: 21, n: 24
40868223:24:{rd 10 res} diss: 00000003, fin: 22/39, node id: 24, n: 24
40871861:1:{rd 10 res} diss: 00000003, fin: 23/40, node id: 1, n: 24
40872055:18:{rd 10 res} diss: 00000003, fin: 23/40, node id: 18, n: 24
40872069:15:{rd 10 res} diss: 00000003, fin: 23/40, node id: 15, n: 24
40875970:20:{rd 10 res} diss: 00000003, fin: 24/41, node id: 20, n: 24
44839776:19:{rd 11 res} diss: 00000003, fin: 15/32, node id: 19, n: 24
44843460:8:{rd 11 res} diss: 00000003, fin: 16/33, node id: 8, n: 24
44843514:16:{rd 11 res} diss: 00000003, fin: 16/33, node id: 16, n: 24
44843516:23:{rd 11 res} diss: 00000003, fin: 16/33, node id: 23, n: 24
44843728:17:{rd 11 res} diss: 00000003, fin: 16/33, node id: 17, n: 24
44843731:11:{rd 11 res} diss: 00000003, fin: 16/33, node id: 11, n: 24
44847268:4:{rd 11 res} diss: 00000003, fin: 17/34, node id: 4, n: 24
44847409:9:{rd 11 res} diss: 00000003, fin: 17/34, node id: 9, n: 24
44847545:14:{rd 11 res} diss: 00000003, fin: 17/34, node id: 14, n: 24
44851261:2:{rd 11 res} diss: 00000003, fin: 18/35, node id: 2, n: 24
44851490:6:{rd 11 res} diss: 00000003, fin: 18/35, node id: 6, n: 24
44851547:10:{rd 11 res} diss: 00000003, fin: 18/35, node id: 10, n: 24
44855248:5:{rd 11 res} diss: 00000003, fin: 19/36, node id: 5, n: 24
44855267:24:{rd 11 res} diss: 00000003, fin: 19/36, node id: 24, n: 24
44855285:12:{rd 11 res} diss: 00000003, fin: 19/36, node id: 12, n: 24
44855320:22:{rd 11 res} diss: 00000003, fin: 19/36, node id: 22, n: 24
44859206:1:{rd 11 res} diss: 00000003, fin: 20/37, node id: 1, n: 24
44859227:13:{rd 11 res} diss: 00000003, fin: 20/37, node id: 13, n: 24
44863138:3:{rd 11 res} diss: 00000003, fin: 21/38, node id: 3, n: 24
44863177:7:{rd 11 res} diss: 00000003, fin: 21/38, node id: 7, n: 24
44863182:20:{rd 11 res} diss: 00000003, fin: 21/38, node id: 20, n: 24
44863189:21:{rd 11 res} diss: 00000003, fin: 21/38, node id: 21, n: 24
44863246:18:{rd 11 res} diss: 00000003, fin: 21/38, node id: 18, n: 24
44867063:15:{rd 11 res} diss: 00000003, fin: 22/39, node id: 15, n: 24
48842694:23:{rd 12 res} diss: 00000003, fin: 16/33, node id: 23, n: 24
48846461:11:{rd 12 res} diss: 00000003, fin: 17/34, node id: 11, n: 24
48846484:16:{rd 12 res} diss: 00000003, fin: 17/34, node id: 16, n: 24
48846545:19:{rd 12 res} diss: 00000003, fin: 17/34, node id: 19, n: 24
48846586:17:{rd 12 res} diss: 00000003, fin: 17/34, node id: 17, n: 24
48850280:4:{rd 12 res} diss: 00000003, fin: 18/35, node id: 4, n: 24
48850325:8:{rd 12 res} diss: 00000003, fin: 18/35, node id: 8, n: 24
48850379:9:{rd 12 res} diss: 00000003, fin: 18/35, node id: 9, n: 24
48850426:14:{rd 12 res} diss: 00000003, fin: 18/35, node id: 14, n: 24
48850571:10:{rd 12 res} diss: 00000003, fin: 18/35, node id: 10, n: 24
48854178:5:{rd 12 res} diss: 00000003, fin: 19/36, node id: 5, n: 24
48854288:6:{rd 12 res} diss: 00000003, fin: 19/36, node id: 6, n: 24
48854291:2:{rd 12 res} diss: 00000003, fin: 19/36, node id: 2, n: 24
48854413:24:{rd 12 res} diss: 00000003, fin: 19/36, node id: 24, n: 24
48858205:13:{rd 12 res} diss: 00000003, fin: 20/37, node id: 13, n: 24
48858400:22:{rd 12 res} diss: 00000003, fin: 20/37, node id: 22, n: 24
48858463:12:{rd 12 res} diss: 00000003, fin: 20/37, node id: 12, n: 24
48862021:7:{rd 12 res} diss: 00000003, fin: 21/38, node id: 7, n: 24
48862092:3:{rd 12 res} diss: 00000003, fin: 21/38, node id: 3, n: 24
48862139:21:{rd 12 res} diss: 00000003, fin: 21/38, node id: 21, n: 24
48866054:15:{rd 12 res} diss: 00000003, fin: 22/39, node id: 15, n: 24
48866090:1:{rd 12 res} diss: 00000003, fin: 22/39, node id: 1, n: 24
48866091:18:{rd 12 res} diss: 00000003, fin: 22/39, node id: 18, n: 24
48869978:20:{rd 12 res} diss: 00000003, fin: 22/40, node id: 20, n: 24
52841473:8:{rd 13 res} diss: 00000003, fin: 16/33, node id: 8, n: 24
52841681:16:{rd 13 res} diss: 00000003, fin: 16/33, node id: 16, n: 24
52841782:14:{rd 13 res} diss: 00000003, fin: 16/33, node id: 14, n: 24
52845291:2:{rd 13 res} diss: 00000003, fin: 17/34, node id: 2, n: 24
52845497:4:{rd 13 res} diss: 00000003, fin: 17/34, node id: 4, n: 24
52845500:17:{rd 13 res} diss: 00000003, fin: 17/34, node id: 17, n: 24
52845509:19:{rd 13 res} diss: 00000003, fin: 17/34, node id: 19, n: 24
52845572:23:{rd 13 res} diss: 00000003, fin: 17/34, node id: 23, n: 24
52849442:9:{rd 13 res} diss: 00000003, fin: 18/35, node id: 9, n: 24
52849567:11:{rd 13 res} diss: 00000003, fin: 18/35, node id: 11, n: 24
52857020:6:{rd 13 res} diss: 00000003, fin: 20/37, node id: 6, n: 24
52857422:10:{rd 13 res} diss: 00000003, fin: 20/37, node id: 10, n: 24
52861272:12:{rd 13 res} diss: 00000003, fin: 21/38, node id: 12, n: 24
52861347:22:{rd 13 res} diss: 00000003, fin: 21/38, node id: 22, n: 24
52861372:13:{rd 13 res} diss: 00000003, fin: 21/38, node id: 13, n: 24
52865060:3:{rd 13 res} diss: 00000003, fin: 22/39, node id: 3, n: 24
52865091:1:{rd 13 res} diss: 00000003, fin: 22/39, node id: 1, n: 24
52865095:7:{rd 13 res} diss: 00000003, fin: 22/39, node id: 7, n: 24
52865131:24:{rd 13 res} diss: 00000003, fin: 22/39, node id: 24, n: 24
52865258:21:{rd 13 res} diss: 00000003, fin: 22/39, node id: 21, n: 24
52868880:5:{rd 13 res} diss: 00000003, fin: 23/40, node id: 5, n: 24
52869090:15:{rd 13 res} diss: 00000003, fin: 23/40, node id: 15, n: 24
52869173:20:{rd 13 res} diss: 00000003, fin: 23/40, node id: 20, n: 24
52869186:18:{rd 13 res} diss: 00000003, fin: 23/40, node id: 18, n: 24
