32700751:9:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32704662:13:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32704807:16:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32704871:21:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32708676:23:{rd 8 res} read: 3, ts: 1, fin: 13/36, writer id: 1, n: 24
32708776:24:{rd 8 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
32712512:7:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
32712672:20:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
32712712:8:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
32716590:6:{rd 8 res} read: 3, ts: 1, fin: 13/38, writer id: 1, n: 24
32728308:14:{rd 8 res} read: 3, ts: 1, fin: 11/41, writer id: 1, n: 24
32732318:22:{rd 8 res} read: 3, ts: 1, fin: 11/42, writer id: 1, n: 24
32732322:19:{rd 8 res} read: 3, ts: 1, fin: 11/42, writer id: 1, n: 24
32732585:1:{rd 8 res} read: 3, ts: 1, fin: 11/42, writer id: 1, n: 24
32732609:12:{rd 8 res} read: 3, ts: 1, fin: 11/42, writer id: 1, n: 24
32736089:5:{rd 8 res} read: 3, ts: 1, fin: 11/43, writer id: 1, n: 24
32736600:15:{rd 8 res} read: 3, ts: 1, fin: 10/43, writer id: 1, n: 24
32736619:17:{rd 8 res} read: 3, ts: 1, fin: 11/43, writer id: 1, n: 24
32740478:4:{rd 8 res} read: 3, ts: 1, fin: 11/44, writer id: 1, n: 24
32744270:3:{rd 8 res} read: 3, ts: 1, fin: 12/45, writer id: 1, n: 24
32752184:18:{rd 8 res} read: 3, ts: 1, fin: 10/47, writer id: 1, n: 24
33061346:10:{rd 8 res} read: 3, ts: 1, fin: 11/126, writer id: 1, n: 24
33061368:2:{rd 8 res} read: 3, ts: 1, fin: 14/126, writer id: 1, n: 24
33061437:11:{rd 8 res} read: 3, ts: 1, fin: 13/126, writer id: 1, n: 24
36684150:15:{rd 9 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 24
36688064:4:{rd 9 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
36692031:18:{rd 9 res} read: 4, ts: 2, fin: 9/32, writer id: 1, n: 24
36692239:12:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36695930:16:{rd 9 res} read: 4, ts: 2, fin: 10/33, writer id: 1, n: 24
36699761:23:{rd 9 res} read: 4, ts: 2, fin: 9/34, writer id: 1, n: 24
36699806:3:{rd 9 res} read: 4, ts: 2, fin: 9/34, writer id: 1, n: 24
36699811:8:{rd 9 res} read: 4, ts: 2, fin: 9/34, writer id: 1, n: 24
36699842:7:{rd 9 res} read: 4, ts: 2, fin: 9/34, writer id: 1, n: 24
36699916:22:{rd 9 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
36699983:10:{rd 9 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
36702932:1:{rd 9 res} written: 4, ts: 2, fin: 14/35, n: 24
36703710:5:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36703799:19:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36703857:9:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36703863:17:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36703903:14:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36706884:24:{rd 9 res} written: 4, ts: 2, fin: 15/36, n: 24
36707740:21:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
36707853:13:{rd 9 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
36786183:20:{rd 9 res} read: 4, ts: 2, fin: 9/56, writer id: 1, n: 24
36790146:6:{rd 9 res} read: 4, ts: 2, fin: 9/57, writer id: 1, n: 24
36970513:2:{rd 9 res} read: 4, ts: 2, fin: 13/103, writer id: 1, n: 24
36997622:11:{rd 9 res} read: 4, ts: 2, fin: 13/110, writer id: 1, n: 24
40695796:5:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40695817:18:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40695893:9:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40699613:3:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40699647:6:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40699739:16:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40699769:21:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
