274349:22:Rime started with address 22.0
295436:23:Rime started with address 23.0
314361:1:Rime started with address 1.0
319731:3:Rime started with address 3.0
353979:15:Rime started with address 15.0
425164:5:Rime started with address 5.0
485088:9:Rime started with address 9.0
513369:17:Rime started with address 17.0
524021:10:Rime started with address 10.0
584418:2:Rime started with address 2.0
597723:12:Rime started with address 12.0
684626:4:Rime started with address 4.0
749657:7:Rime started with address 7.0
812656:13:Rime started with address 13.0
817304:11:Rime started with address 11.0
899798:19:Rime started with address 19.0
932683:18:Rime started with address 18.0
958687:21:Rime started with address 21.0
987186:6:Rime started with address 6.0
1035003:8:Rime started with address 8.0
1039672:20:Rime started with address 20.0
1047580:16:Rime started with address 16.0
1111471:14:Rime started with address 14.0
1195301:24:Rime started with address 24.0
36643948:10:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36644049:12:{rd 9 res} read: 3, ts: 1, fin: 10/33, writer id: 1, n: 24
36647032:24:{rd 9 res} written: 3, ts: 1, fin: 13/34, n: 24
36647719:6:{rd 9 res} read: 3, ts: 1, fin: 9/34, writer id: 1, n: 24
36647875:22:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36647952:8:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36648023:5:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36650895:1:{rd 9 res} written: 3, ts: 1, fin: 14/35, n: 24
36651680:14:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36651771:2:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36651778:16:{rd 9 res} read: 3, ts: 1, fin: 10/35, writer id: 1, n: 24
36651779:13:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36651850:4:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36655651:7:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
36655687:21:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
36659514:15:{rd 9 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
36726435:11:{rd 9 res} read: 3, ts: 1, fin: 11/54, writer id: 1, n: 24
36726474:19:{rd 9 res} read: 3, ts: 1, fin: 11/54, writer id: 1, n: 24
36730209:9:{rd 9 res} read: 3, ts: 1, fin: 8/55, writer id: 1, n: 24
36730439:18:{rd 9 res} read: 3, ts: 1, fin: 16/55, writer id: 1, n: 24
36730464:23:{rd 9 res} read: 3, ts: 1, fin: 11/55, writer id: 1, n: 24
36734178:17:{rd 9 res} read: 3, ts: 1, fin: 11/56, writer id: 1, n: 24
36734357:20:{rd 9 res} read: 3, ts: 1, fin: 16/56, writer id: 1, n: 24
37008314:3:{rd 9 res} read: 3, ts: 1, fin: 15/126, writer id: 1, n: 24
40627917:6:{rd 10 res} read: 3, ts: 1, fin: 8/29, writer id: 1, n: 24
40639856:22:{rd 10 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 24
40643745:13:{rd 10 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
40651497:15:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40651533:3:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40651581:17:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40651619:2:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40651648:18:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40655354:19:{rd 10 res} read: 3, ts: 1, fin: 12/36, writer id: 1, n: 24
40655483:21:{rd 10 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
40655497:10:{rd 10 res} read: 3, ts: 1, fin: 13/36, writer id: 1, n: 24
40655531:14:{rd 10 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
40659422:11:{rd 10 res} read: 3, ts: 1, fin: 12/37, writer id: 1, n: 24
40659454:8:{rd 10 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
