41256265:6:{rd 10 res} read: 3, ts: 1, fin: 5/26, writer id: 1, n: 12
41260136:4:{rd 10 res} read: 3, ts: 1, fin: 4/27, writer id: 1, n: 12
41260224:7:{rd 10 res} read: 3, ts: 1, fin: 6/27, writer id: 1, n: 12
41264085:8:{rd 10 res} read: 3, ts: 1, fin: 7/28, writer id: 1, n: 12
41264360:3:{rd 10 res} read: 3, ts: 1, fin: 7/28, writer id: 1, n: 12
41268410:11:{rd 10 res} read: 3, ts: 1, fin: 8/29, writer id: 1, n: 12
41272504:2:{rd 10 res} read: 3, ts: 1, fin: 9/30, writer id: 1, n: 12
41272738:5:{rd 10 res} read: 3, ts: 1, fin: 9/30, writer id: 1, n: 12
41300306:12:{rd 10 res} read: 25, ts: 1, fin: 6/37, writer id: 12, n: 12
41311927:9:{rd 10 res} read: 3, ts: 1, fin: 5/40, writer id: 1, n: 12
41342757:10:{rd 10 res} read: 3, ts: 1, fin: 9/48, writer id: 1, n: 12
41527056:1:{rd 10 res} read: 3, ts: 1, fin: 8/95, writer id: 1, n: 12
45251345:5:{rd 11 res} read: 4, ts: 2, fin: 4/25, writer id: 1, n: 12
45255172:2:{rd 11 res} read: 4, ts: 2, fin: 5/26, writer id: 1, n: 12
45255347:11:{rd 11 res} read: 4, ts: 2, fin: 5/26, writer id: 1, n: 12
45263156:3:{rd 11 res} read: 4, ts: 2, fin: 7/28, writer id: 1, n: 12
45267710:8:{rd 11 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
45267802:4:{rd 11 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
45271643:6:{rd 11 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 12
45275583:7:{rd 11 res} read: 4, ts: 2, fin: 7/31, writer id: 1, n: 12
45303003:9:{rd 11 res} read: 4, ts: 2, fin: 7/38, writer id: 1, n: 12
45349052:12:{rd 11 res} written: 26, ts: 2, fin: 8/50, n: 12
45506604:10:{rd 11 res} read: 4, ts: 2, fin: 6/90, writer id: 1, n: 12
45552973:1:{rd 11 res} written: 4, ts: 2, fin: 5/102, n: 12
49266742:6:{rd 12 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
49270562:7:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 12
49270700:4:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 12
49274276:1:{rd 12 res} read: 4, ts: 2, fin: 8/31, writer id: 1, n: 12
49274695:3:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 12
49278567:8:{rd 12 res} read: 4, ts: 2, fin: 10/32, writer id: 1, n: 12
49286510:11:{rd 12 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 12
49286527:5:{rd 12 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 12
49290411:2:{rd 12 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 12
49341714:12:{rd 12 res} read: 26, ts: 2, fin: 7/48, writer id: 12, n: 12
