45059257:7:{rd 11 res} read: 4, ts: 2, fin: 15/126, writer id: 1, n: 24
48682061:20:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 24
48685623:21:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685745:1:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685929:8:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685956:24:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685970:18:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48686013:12:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48689878:5:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689881:14:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689926:22:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689948:16:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689963:4:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48690004:15:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48693854:13:{rd 12 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
48693912:7:{rd 12 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
48693952:2:{rd 12 res} read: 4, ts: 2, fin: 11/33, writer id: 1, n: 24
48701719:23:{rd 12 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
48705671:11:{rd 12 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
48709460:17:{rd 12 res} read: 4, ts: 2, fin: 12/37, writer id: 1, n: 24
48709518:19:{rd 12 res} read: 4, ts: 2, fin: 12/37, writer id: 1, n: 24
48807762:6:{rd 12 res} read: 4, ts: 2, fin: 13/62, writer id: 1, n: 24
49038523:3:{rd 12 res} read: 4, ts: 2, fin: 12/121, writer id: 1, n: 24
49046274:9:{rd 12 res} read: 4, ts: 2, fin: 14/123, writer id: 1, n: 24
49046280:10:{rd 12 res} read: 4, ts: 2, fin: 11/123, writer id: 1, n: 24
52692885:14:{rd 13 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
52692933:2:{rd 13 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
52696775:4:{rd 13 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
52696855:8:{rd 13 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
52700747:5:{rd 13 res} read: 5, ts: 3, fin: 12/35, writer id: 1, n: 24
52700753:16:{rd 13 res} read: 5, ts: 3, fin: 13/35, writer id: 1, n: 24
52704675:10:{rd 13 res} read: 5, ts: 3, fin: 11/36, writer id: 1, n: 24
52712358:13:{rd 13 res} read: 5, ts: 3, fin: 17/38, writer id: 1, n: 24
52712405:3:{rd 13 res} read: 5, ts: 3, fin: 17/38, writer id: 1, n: 24
52716285:7:{rd 13 res} read: 5, ts: 3, fin: 18/39, writer id: 1, n: 24
52716362:12:{rd 13 res} read: 5, ts: 3, fin: 18/39, writer id: 1, n: 24
52716421:22:{rd 13 res} read: 5, ts: 3, fin: 18/39, writer id: 1, n: 24
52724054:17:{rd 13 res} read: 5, ts: 3, fin: 13/41, writer id: 1, n: 24
52728118:19:{rd 13 res} read: 5, ts: 3, fin: 13/42, writer id: 1, n: 24
52728118:11:{rd 13 res} read: 5, ts: 3, fin: 13/42, writer id: 1, n: 24
52728162:23:{rd 13 res} read: 5, ts: 3, fin: 13/42, writer id: 1, n: 24
52732199:9:{rd 13 res} read: 5, ts: 3, fin: 10/43, writer id: 1, n: 24
52770699:1:{rd 13 res} written: 5, ts: 3, fin: 12/53, n: 24
52775420:20:{rd 13 res} read: 5, ts: 3, fin: 13/54, writer id: 1, n: 24
52779380:18:{rd 13 res} read: 5, ts: 3, fin: 14/55, writer id: 1, n: 24
52783249:15:{rd 13 res} read: 5, ts: 3, fin: 17/56, writer id: 1, n: 24
52787179:21:{rd 13 res} read: 5, ts: 3, fin: 17/57, writer id: 1, n: 24
52852605:24:{rd 13 res} written: 5, ts: 3, fin: 12/74, n: 24
53033656:6:{rd 13 res} read: 5, ts: 3, fin: 11/120, writer id: 1, n: 24
56691788:3:{rd 14 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
56695751:21:{rd 14 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
56695782:8:{rd 14 res} read: 5, ts: 3, fin: 11/34, writer id: 1, n: 24
56695823:10:{rd 14 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
56695823:15:{rd 14 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
56699638:17:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699720:13:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699741:14:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699784:16:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699803:12:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699805:4:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699811:24:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699858:2:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56699888:5:{rd 14 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
56703591:19:{rd 14 res} read: 5, ts: 3, fin: 15/36, writer id: 1, n: 24
56703595:1:{rd 14 res} read: 5, ts: 3, fin: 15/36, writer id: 1, n: 24
56703610:22:{rd 14 res} read: 5, ts: 3, fin: 15/36, writer id: 1, n: 24
56703638:7:{rd 14 res} read: 5, ts: 3, fin: 15/36, writer id: 1, n: 24
56711507:9:{rd 14 res} read: 5, ts: 3, fin: 11/38, writer id: 1, n: 24
56786148:18:{rd 14 res} read: 5, ts: 3, fin: 13/57, writer id: 1, n: 24
56864309:20:{rd 14 res} read: 5, ts: 3, fin: 14/77, writer id: 1, n: 24
56895816:11:{rd 14 res} read: 5, ts: 3, fin: 14/85, writer id: 1, n: 24
56899860:23:{rd 14 res} read: 5, ts: 3, fin: 14/86, writer id: 1, n: 24
56997373:6:{rd 14 res} read: 5, ts: 3, fin: 12/111, writer id: 1, n: 24
60683028:11:{rd 15 res} read: 6, ts: 4, fin: 10/31, writer id: 1, n: 24
60683041:23:{rd 15 res} read: 6, ts: 4, fin: 10/31, writer id: 1, n: 24
60686961:19:{rd 15 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 24
60690188:1:{rd 15 res} written: 6, ts: 4, fin: 10/33, n: 24
60694005:24:{rd 15 res} written: 6, ts: 4, fin: 13/34, n: 24
60694920:5:{rd 15 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
60698824:10:{rd 15 res} read: 6, ts: 4, fin: 13/35, writer id: 1, n: 24
60698851:18:{rd 15 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
60710382:6:{rd 15 res} read: 6, ts: 4, fin: 17/38, writer id: 1, n: 24
60710399:21:{rd 15 res} read: 6, ts: 4, fin: 17/38, writer id: 1, n: 24
60710509:3:{rd 15 res} read: 6, ts: 4, fin: 17/38, writer id: 1, n: 24
60714351:22:{rd 15 res} read: 6, ts: 4, fin: 18/39, writer id: 1, n: 24
60714386:14:{rd 15 res} read: 6, ts: 4, fin: 14/39, writer id: 1, n: 24
60714459:15:{rd 15 res} read: 6, ts: 4, fin: 14/39, writer id: 1, n: 24
60718285:8:{rd 15 res} read: 6, ts: 4, fin: 13/40, writer id: 1, n: 24
60718377:7:{rd 15 res} read: 6, ts: 4, fin: 19/40, writer id: 1, n: 24
60718378:4:{rd 15 res} read: 6, ts: 4, fin: 13/40, writer id: 1, n: 24
60718380:13:{rd 15 res} read: 6, ts: 4, fin: 19/40, writer id: 1, n: 24
60722307:16:{rd 15 res} read: 6, ts: 4, fin: 12/41, writer id: 1, n: 24
60726525:17:{rd 15 res} read: 6, ts: 4, fin: 11/42, writer id: 1, n: 24
61012298:2:{rd 15 res} read: 6, ts: 4, fin: 13/115, writer id: 1, n: 24
61055111:20:{rd 15 res} read: 6, ts: 4, fin: 13/126, writer id: 1, n: 24
61055224:9:{rd 15 res} read: 6, ts: 4, fin: 9/126, writer id: 1, n: 24
61055332:12:{rd 15 res} read: 6, ts: 4, fin: 18/126, writer id: 1, n: 24
64682115:16:{rd 16 res} read: 6, ts: 4, fin: 10/31, writer id: 1, n: 24
64685931:8:{rd 16 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 24
64693781:24:{rd 16 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
64693956:5:{rd 16 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
64697658:22:{rd 16 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
64697802:1:{rd 16 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
64697845:18:{rd 16 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
64701596:15:{rd 16 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
64701631:20:{rd 16 res} read: 6, ts: 4, fin: 14/36, writer id: 1, n: 24
64701646:21:{rd 16 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
64701667:13:{rd 16 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
64701762:2:{rd 16 res} read: 6, ts: 4, fin: 11/36, writer id: 1, n: 24
64705500:3:{rd 16 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
64705556:12:{rd 16 res} read: 6, ts: 4, fin: 14/37, writer id: 1, n: 24
64709572:6:{rd 16 res} read: 6, ts: 4, fin: 13/38, writer id: 1, n: 24
64717184:11:{rd 16 res} read: 6, ts: 4, fin: 9/40, writer id: 1, n: 24
64717196:23:{rd 16 res} read: 6, ts: 4, fin: 9/40, writer id: 1, n: 24
64717212:19:{rd 16 res} read: 6, ts: 4, fin: 9/40, writer id: 1, n: 24
64772504:4:{rd 16 res} read: 6, ts: 4, fin: 11/54, writer id: 1, n: 24
64776365:14:{rd 16 res} read: 6, ts: 4, fin: 11/55, writer id: 1, n: 24
64854405:17:{rd 16 res} read: 6, ts: 4, fin: 10/75, writer id: 1, n: 24
64905246:10:{rd 16 res} read: 6, ts: 4, fin: 12/88, writer id: 1, n: 24
65026685:9:{rd 16 res} read: 6, ts: 4, fin: 8/119, writer id: 1, n: 24
65030778:7:{rd 16 res} read: 6, ts: 4, fin: 15/120, writer id: 1, n: 24
68680454:24:{rd 17 res} written: 7, ts: 5, fin: 10/31, n: 24
68681123:22:{rd 17 res} read: 7, ts: 5, fin: 10/31, writer id: 1, n: 24
68684952:12:{rd 17 res} read: 7, ts: 5, fin: 8/32, writer id: 1, n: 24
68684966:15:{rd 17 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 24
68685121:5:{rd 17 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 24
68685165:13:{rd 17 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 24
68685178:3:{rd 17 res} read: 7, ts: 5, fin: 11/32, writer id: 1, n: 24
68688831:6:{rd 17 res} read: 7, ts: 5, fin: 7/33, writer id: 1, n: 24
68688973:18:{rd 17 res} read: 7, ts: 5, fin: 12/33, writer id: 1, n: 24
68689082:21:{rd 17 res} read: 7, ts: 5, fin: 12/33, writer id: 1, n: 24
68692945:19:{rd 17 res} read: 7, ts: 5, fin: 10/34, writer id: 1, n: 24
68696767:11:{rd 17 res} read: 7, ts: 5, fin: 12/35, writer id: 1, n: 24
68696774:2:{rd 17 res} read: 7, ts: 5, fin: 12/35, writer id: 1, n: 24
68696854:23:{rd 17 res} read: 7, ts: 5, fin: 12/35, writer id: 1, n: 24
68704584:4:{rd 17 res} read: 7, ts: 5, fin: 12/37, writer id: 1, n: 24
68708508:14:{rd 17 res} read: 7, ts: 5, fin: 14/38, writer id: 1, n: 24
68716340:8:{rd 17 res} read: 7, ts: 5, fin: 14/40, writer id: 1, n: 24
68720167:16:{rd 17 res} read: 7, ts: 5, fin: 14/41, writer id: 1, n: 24
68724070:17:{rd 17 res} read: 7, ts: 5, fin: 13/42, writer id: 1, n: 24
68813845:1:{rd 17 res} written: 7, ts: 5, fin: 11/65, n: 24
68818611:20:{rd 17 res} read: 7, ts: 5, fin: 12/66, writer id: 1, n: 24
68900509:10:{rd 17 res} read: 7, ts: 5, fin: 11/87, writer id: 1, n: 24
68982794:7:{rd 17 res} read: 7, ts: 5, fin: 11/108, writer id: 1, n: 24
69033574:9:{rd 17 res} read: 7, ts: 5, fin: 13/121, writer id: 1, n: 24
72672088:12:{rd 18 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 24
72676088:22:{rd 18 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 24
72691829:17:{rd 18 res} read: 7, ts: 5, fin: 11/34, writer id: 1, n: 24
72695690:11:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72695695:16:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72695742:21:{rd 18 res} read: 7, ts: 5, fin: 10/35, writer id: 1, n: 24
72695759:8:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72695764:19:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72695810:23:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72695907:2:{rd 18 res} read: 7, ts: 5, fin: 14/35, writer id: 1, n: 24
72699666:9:{rd 18 res} read: 7, ts: 5, fin: 15/36, writer id: 1, n: 24
72699685:15:{rd 18 res} read: 7, ts: 5, fin: 10/36, writer id: 1, n: 24
72699824:4:{rd 18 res} read: 7, ts: 5, fin: 15/36, writer id: 1, n: 24
72703597:1:{rd 18 res} read: 7, ts: 5, fin: 16/37, writer id: 1, n: 24
72703639:3:{rd 18 res} read: 7, ts: 5, fin: 10/37, writer id: 1, n: 24
