36984217:15:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36988072:10:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36988102:23:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36991967:22:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36995937:2:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
36995947:8:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
36998956:1:{rd 9 res} written: 3, ts: 1, fin: 16/37, n: 24
36999921:17:{rd 9 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
37003637:4:{rd 9 res} read: 3, ts: 1, fin: 14/38, writer id: 1, n: 24
37007705:12:{rd 9 res} read: 3, ts: 1, fin: 16/39, writer id: 1, n: 24
37011674:6:{rd 9 res} read: 3, ts: 1, fin: 13/40, writer id: 1, n: 24
37015526:11:{rd 9 res} read: 3, ts: 1, fin: 14/41, writer id: 1, n: 24
37019854:13:{rd 9 res} read: 3, ts: 1, fin: 13/42, writer id: 1, n: 24
37062219:24:{rd 9 res} written: 49, ts: 1, fin: 12/53, n: 24
37066895:3:{rd 9 res} read: 3, ts: 1, fin: 12/54, writer id: 1, n: 24
37070781:14:{rd 9 res} read: 3, ts: 1, fin: 12/55, writer id: 1, n: 24
37074529:18:{rd 9 res} read: 3, ts: 1, fin: 11/56, writer id: 1, n: 24
37078533:9:{rd 9 res} read: 3, ts: 1, fin: 12/57, writer id: 1, n: 24
37082184:16:{rd 9 res} read: 3, ts: 1, fin: 9/58, writer id: 1, n: 24
37082311:5:{rd 9 res} read: 3, ts: 1, fin: 10/58, writer id: 1, n: 24
37086217:19:{rd 9 res} read: 3, ts: 1, fin: 12/59, writer id: 1, n: 24
37086326:7:{rd 9 res} read: 3, ts: 1, fin: 12/59, writer id: 1, n: 24
37156871:20:{rd 9 res} read: 3, ts: 1, fin: 14/77, writer id: 1, n: 24
37211326:21:{rd 9 res} read: 3, ts: 1, fin: 16/91, writer id: 1, n: 24
40968436:7:{rd 10 res} read: 49, ts: 1, fin: 8/29, writer id: 24, n: 24
40972362:19:{rd 10 res} read: 49, ts: 1, fin: 9/30, writer id: 24, n: 24
40980417:17:{rd 10 res} read: 49, ts: 1, fin: 11/32, writer id: 24, n: 24
40984319:23:{rd 10 res} read: 49, ts: 1, fin: 12/33, writer id: 24, n: 24
40984359:24:{rd 10 res} read: 49, ts: 1, fin: 12/33, writer id: 24, n: 24
40984395:12:{rd 10 res} read: 49, ts: 1, fin: 12/33, writer id: 24, n: 24
40988130:1:{rd 10 res} read: 49, ts: 1, fin: 13/34, writer id: 24, n: 24
40988142:3:{rd 10 res} read: 49, ts: 1, fin: 13/34, writer id: 24, n: 24
40988192:14:{rd 10 res} read: 49, ts: 1, fin: 13/34, writer id: 24, n: 24
40988242:15:{rd 10 res} read: 49, ts: 1, fin: 13/34, writer id: 24, n: 24
40992032:11:{rd 10 res} read: 49, ts: 1, fin: 12/35, writer id: 24, n: 24
40992053:18:{rd 10 res} read: 49, ts: 1, fin: 10/35, writer id: 24, n: 24
40992123:6:{rd 10 res} read: 49, ts: 1, fin: 12/35, writer id: 24, n: 24
40995889:9:{rd 10 res} read: 49, ts: 1, fin: 9/36, writer id: 24, n: 24
40999930:16:{rd 10 res} read: 49, ts: 1, fin: 8/37, writer id: 24, n: 24
41019472:20:{rd 10 res} read: 49, ts: 1, fin: 11/42, writer id: 24, n: 24
41031758:4:{rd 10 res} read: 49, ts: 1, fin: 12/45, writer id: 24, n: 24
41066777:2:{rd 10 res} read: 49, ts: 1, fin: 13/54, writer id: 24, n: 24
41066939:21:{rd 10 res} read: 49, ts: 1, fin: 13/54, writer id: 24, n: 24
41070800:8:{rd 10 res} read: 49, ts: 1, fin: 14/55, writer id: 24, n: 24
41149012:22:{rd 10 res} read: 49, ts: 1, fin: 14/75, writer id: 24, n: 24
41152926:10:{rd 10 res} read: 49, ts: 1, fin: 13/76, writer id: 24, n: 24
41160580:13:{rd 10 res} read: 49, ts: 1, fin: 12/78, writer id: 24, n: 24
41285906:5:{rd 10 res} read: 49, ts: 1, fin: 12/110, writer id: 24, n: 24
44975166:23:{rd 11 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
44979019:15:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979023:6:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979061:11:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979089:3:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979116:5:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979144:21:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44979205:4:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44982143:1:{rd 11 res} written: 4, ts: 2, fin: 12/33, n: 24
44982222:24:{rd 11 res} written: 50, ts: 2, fin: 12/33, n: 24
44983010:13:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983017:16:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983034:20:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983046:17:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983083:19:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983094:2:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983100:7:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983114:12:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44983265:14:{rd 11 res} read: 50, ts: 2, fin: 12/33, writer id: 24, n: 24
44986875:8:{rd 11 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
44986956:9:{rd 11 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
44987088:22:{rd 11 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
44990870:10:{rd 11 res} read: 4, ts: 2, fin: 13/35, writer id: 1, n: 24
45308435:18:{rd 11 res} read: 50, ts: 2, fin: 13/116, writer id: 24, n: 24
48970402:13:{rd 12 res} read: 50, ts: 2, fin: 9/30, writer id: 24, n: 24
48970563:11:{rd 12 res} read: 50, ts: 2, fin: 9/30, writer id: 24, n: 24
48974500:15:{rd 12 res} read: 50, ts: 2, fin: 10/31, writer id: 24, n: 24
48974532:21:{rd 12 res} read: 50, ts: 2, fin: 10/31, writer id: 24, n: 24
48974579:19:{rd 12 res} read: 50, ts: 2, fin: 10/31, writer id: 24, n: 24
48974623:6:{rd 12 res} read: 50, ts: 2, fin: 10/31, writer id: 24, n: 24
48978388:22:{rd 12 res} read: 50, ts: 2, fin: 11/32, writer id: 24, n: 24
48978398:9:{rd 12 res} read: 50, ts: 2, fin: 11/32, writer id: 24, n: 24
48978428:23:{rd 12 res} read: 50, ts: 2, fin: 11/32, writer id: 24, n: 24
48978484:8:{rd 12 res} read: 50, ts: 2, fin: 11/32, writer id: 24, n: 24
48978511:4:{rd 12 res} read: 50, ts: 2, fin: 11/32, writer id: 24, n: 24
48982236:7:{rd 12 res} read: 50, ts: 2, fin: 12/33, writer id: 24, n: 24
48982280:16:{rd 12 res} read: 50, ts: 2, fin: 12/33, writer id: 24, n: 24
48982450:12:{rd 12 res} read: 50, ts: 2, fin: 12/33, writer id: 24, n: 24
48982497:10:{rd 12 res} read: 50, ts: 2, fin: 12/33, writer id: 24, n: 24
48986141:2:{rd 12 res} read: 50, ts: 2, fin: 13/34, writer id: 24, n: 24
48986201:3:{rd 12 res} read: 50, ts: 2, fin: 13/34, writer id: 24, n: 24
