40972352:3:{rd 10 res} read: 25, ts: 1, fin: 9/30, writer id: 12, n: 12
40972403:2:{rd 10 res} read: 25, ts: 1, fin: 9/30, writer id: 12, n: 12
40976212:11:{rd 10 res} read: 25, ts: 1, fin: 6/31, writer id: 12, n: 12
40976572:12:{rd 10 res} read: 25, ts: 1, fin: 10/31, writer id: 12, n: 12
40980177:5:{rd 10 res} read: 25, ts: 1, fin: 7/32, writer id: 12, n: 12
40980342:10:{rd 10 res} read: 25, ts: 1, fin: 11/32, writer id: 12, n: 12
41015310:1:{rd 10 res} read: 25, ts: 1, fin: 11/41, writer id: 12, n: 12
41023124:9:{rd 10 res} read: 25, ts: 1, fin: 6/43, writer id: 12, n: 12
41027436:7:{rd 10 res} read: 25, ts: 1, fin: 5/44, writer id: 12, n: 12
41086079:6:{rd 10 res} read: 25, ts: 1, fin: 5/59, writer id: 12, n: 12
41086286:8:{rd 10 res} read: 25, ts: 1, fin: 8/59, writer id: 12, n: 12
41164434:4:{rd 10 res} read: 25, ts: 1, fin: 5/79, writer id: 12, n: 12
44979061:11:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 12
44982858:5:{rd 11 res} read: 4, ts: 2, fin: 8/33, writer id: 1, n: 12
44983114:2:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 12
44983133:3:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 12
44986130:12:{rd 11 res} written: 4, ts: 2, fin: 13/34, n: 12
44986901:10:{rd 11 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 12
44990394:1:{rd 11 res} written: 4, ts: 2, fin: 14/35, n: 12
45026254:7:{rd 11 res} read: 4, ts: 2, fin: 5/44, writer id: 1, n: 12
45030101:4:{rd 11 res} read: 4, ts: 2, fin: 6/45, writer id: 1, n: 12
45034103:9:{rd 11 res} read: 4, ts: 2, fin: 5/46, writer id: 1, n: 12
45053768:6:{rd 11 res} read: 4, ts: 2, fin: 6/51, writer id: 1, n: 12
45112070:8:{rd 11 res} read: 4, ts: 2, fin: 7/66, writer id: 1, n: 12
48961677:1:{rd 12 res} read: 4, ts: 2, fin: 6/28, writer id: 1, n: 12
48961695:12:{rd 12 res} read: 4, ts: 2, fin: 7/28, writer id: 1, n: 12
48965976:8:{rd 12 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
48966005:2:{rd 12 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
48966015:3:{rd 12 res} read: 4, ts: 2, fin: 8/29, writer id: 1, n: 12
48966123:7:{rd 12 res} read: 4, ts: 2, fin: 6/29, writer id: 1, n: 12
48966345:10:{rd 12 res} read: 4, ts: 2, fin: 7/29, writer id: 1, n: 12
48970180:4:{rd 12 res} read: 4, ts: 2, fin: 7/30, writer id: 1, n: 12
48970207:5:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 12
48970207:11:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 12
48974014:9:{rd 12 res} read: 4, ts: 2, fin: 6/31, writer id: 1, n: 12
49346134:6:{rd 12 res} read: 4, ts: 2, fin: 7/126, writer id: 1, n: 12
52964127:1:{rd 13 res} written: 5, ts: 3, fin: 8/29, n: 12
52964437:12:{rd 13 res} written: 5, ts: 3, fin: 8/29, n: 12
52965120:7:{rd 13 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
52965311:9:{rd 13 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
52969004:6:{rd 13 res} read: 5, ts: 3, fin: 7/30, writer id: 1, n: 12
52969176:10:{rd 13 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 12
52969226:4:{rd 13 res} read: 5, ts: 3, fin: 7/30, writer id: 1, n: 12
52973184:3:{rd 13 res} read: 5, ts: 3, fin: 8/31, writer id: 1, n: 12
52977107:2:{rd 13 res} read: 5, ts: 3, fin: 7/32, writer id: 1, n: 12
52980966:11:{rd 13 res} read: 5, ts: 3, fin: 8/33, writer id: 1, n: 12
52984886:5:{rd 13 res} read: 5, ts: 3, fin: 9/34, writer id: 1, n: 12
53329577:8:{rd 13 res} read: 5, ts: 3, fin: 8/122, writer id: 1, n: 12
56952125:9:{rd 14 res} read: 5, ts: 3, fin: 5/26, writer id: 1, n: 12
56955559:7:{rd 14 res} read: 5, ts: 3, fin: 6/27, writer id: 1, n: 12
56959763:5:{rd 14 res} read: 5, ts: 3, fin: 7/28, writer id: 1, n: 12
56959767:12:{rd 14 res} read: 5, ts: 3, fin: 7/28, writer id: 1, n: 12
56963761:11:{rd 14 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
56963947:2:{rd 14 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
56964248:10:{rd 14 res} read: 5, ts: 3, fin: 8/29, writer id: 1, n: 12
56968310:3:{rd 14 res} read: 5, ts: 3, fin: 8/30, writer id: 1, n: 12
56972179:6:{rd 14 res} read: 5, ts: 3, fin: 6/31, writer id: 1, n: 12
56976072:8:{rd 14 res} read: 5, ts: 3, fin: 7/32, writer id: 1, n: 12
57007074:1:{rd 14 res} read: 5, ts: 3, fin: 8/40, writer id: 1, n: 12
57308921:4:{rd 14 res} read: 5, ts: 3, fin: 6/117, writer id: 1, n: 12
60958293:12:{rd 15 res} written: 6, ts: 4, fin: 7/28, n: 12
60958785:3:{rd 15 res} read: 6, ts: 4, fin: 6/28, writer id: 1, n: 12
60962919:2:{rd 15 res} read: 6, ts: 4, fin: 8/29, writer id: 1, n: 12
60963280:10:{rd 15 res} read: 6, ts: 4, fin: 8/29, writer id: 1, n: 12
60966083:1:{rd 15 res} written: 6, ts: 4, fin: 9/30, n: 12
60975063:5:{rd 15 res} read: 6, ts: 4, fin: 8/32, writer id: 1, n: 12
60978938:11:{rd 15 res} read: 6, ts: 4, fin: 8/33, writer id: 1, n: 12
60998581:6:{rd 15 res} read: 6, ts: 4, fin: 7/38, writer id: 1, n: 12
61002393:7:{rd 15 res} read: 6, ts: 4, fin: 6/39, writer id: 1, n: 12
61002509:9:{rd 15 res} read: 6, ts: 4, fin: 6/39, writer id: 1, n: 12
61006285:4:{rd 15 res} read: 6, ts: 4, fin: 7/40, writer id: 1, n: 12
61217794:8:{rd 15 res} read: 6, ts: 4, fin: 6/94, writer id: 1, n: 12
64966187:3:{rd 16 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
64966245:2:{rd 16 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
64970134:11:{rd 16 res} read: 6, ts: 4, fin: 6/31, writer id: 1, n: 12
64970300:12:{rd 16 res} read: 6, ts: 4, fin: 10/31, writer id: 1, n: 12
64974072:5:{rd 16 res} read: 6, ts: 4, fin: 7/32, writer id: 1, n: 12
64974273:1:{rd 16 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 12
64974357:10:{rd 16 res} read: 6, ts: 4, fin: 10/32, writer id: 1, n: 12
64997562:6:{rd 16 res} read: 6, ts: 4, fin: 5/38, writer id: 1, n: 12
65001395:7:{rd 16 res} read: 6, ts: 4, fin: 6/39, writer id: 1, n: 12
65005324:9:{rd 16 res} read: 6, ts: 4, fin: 5/40, writer id: 1, n: 12
65178086:8:{rd 16 res} read: 6, ts: 4, fin: 8/84, writer id: 1, n: 12
65182017:4:{rd 16 res} read: 6, ts: 4, fin: 5/85, writer id: 1, n: 12
68949201:6:{rd 17 res} read: 7, ts: 5, fin: 5/26, writer id: 1, n: 12
68952926:4:{rd 17 res} read: 7, ts: 5, fin: 6/27, writer id: 1, n: 12
68953187:8:{rd 17 res} read: 7, ts: 5, fin: 6/27, writer id: 1, n: 12
68956855:5:{rd 17 res} read: 7, ts: 5, fin: 7/28, writer id: 1, n: 12
68961229:3:{rd 17 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 12
68961371:11:{rd 17 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 12
68965371:2:{rd 17 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 12
68969317:10:{rd 17 res} read: 7, ts: 5, fin: 10/31, writer id: 1, n: 12
68972361:1:{rd 17 res} written: 7, ts: 5, fin: 10/32, n: 12
69067413:9:{rd 17 res} read: 7, ts: 5, fin: 5/56, writer id: 1, n: 12
69071524:7:{rd 17 res} read: 7, ts: 5, fin: 5/57, writer id: 1, n: 12
69129002:12:{rd 17 res} written: 7, ts: 5, fin: 9/72, n: 12
72948284:6:{rd 18 res} read: 7, ts: 5, fin: 5/26, writer id: 1, n: 12
72951916:4:{rd 18 res} read: 7, ts: 5, fin: 6/27, writer id: 1, n: 12
72951965:12:{rd 18 res} read: 7, ts: 5, fin: 6/27, writer id: 1, n: 12
72955679:10:{rd 18 res} read: 7, ts: 5, fin: 7/28, writer id: 1, n: 12
72955706:3:{rd 18 res} read: 7, ts: 5, fin: 7/28, writer id: 1, n: 12
72959880:1:{rd 18 res} read: 7, ts: 5, fin: 7/29, writer id: 1, n: 12
72960010:11:{rd 18 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 12
72960403:2:{rd 18 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 12
72964202:5:{rd 18 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 12
73070411:9:{rd 18 res} read: 7, ts: 5, fin: 5/57, writer id: 1, n: 12
73074227:7:{rd 18 res} read: 7, ts: 5, fin: 5/58, writer id: 1, n: 12
73340310:8:{rd 18 res} read: 7, ts: 5, fin: 6/126, writer id: 1, n: 12
76951291:11:{rd 19 res} read: 30, ts: 6, fin: 6/27, writer id: 12, n: 12
76955410:2:{rd 19 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
76955416:5:{rd 19 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
76955440:3:{rd 19 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
76958510:12:{rd 19 res} written: 30, ts: 6, fin: 8/29, n: 12
76959749:10:{rd 19 res} read: 30, ts: 6, fin: 8/29, writer id: 12, n: 12
76962399:1:{rd 19 res} written: 30, ts: 6, fin: 9/30, n: 12
76975191:9:{rd 19 res} read: 30, ts: 6, fin: 6/33, writer id: 12, n: 12
76979340:4:{rd 19 res} read: 30, ts: 6, fin: 5/34, writer id: 12, n: 12
77061855:7:{rd 19 res} read: 30, ts: 6, fin: 6/55, writer id: 12, n: 12
77065565:6:{rd 19 res} read: 30, ts: 6, fin: 5/56, writer id: 12, n: 12
77178955:8:{rd 19 res} read: 30, ts: 6, fin: 6/85, writer id: 12, n: 12
80946349:12:{rd 20 res} read: 30, ts: 6, fin: 5/26, writer id: 12, n: 12
80950231:1:{rd 20 res} read: 30, ts: 6, fin: 6/27, writer id: 12, n: 12
80954500:11:{rd 20 res} read: 30, ts: 6, fin: 7/28, writer id: 12, n: 12
80954515:10:{rd 20 res} read: 30, ts: 6, fin: 6/28, writer id: 12, n: 12
80958423:5:{rd 20 res} read: 30, ts: 6, fin: 8/29, writer id: 12, n: 12
80958547:2:{rd 20 res} read: 30, ts: 6, fin: 8/29, writer id: 12, n: 12
80970524:4:{rd 20 res} read: 30, ts: 6, fin: 5/32, writer id: 12, n: 12
80974287:7:{rd 20 res} read: 30, ts: 6, fin: 6/33, writer id: 12, n: 12
80978157:6:{rd 20 res} read: 30, ts: 6, fin: 7/34, writer id: 12, n: 12
80978278:9:{rd 20 res} read: 30, ts: 6, fin: 5/34, writer id: 12, n: 12
81303494:8:{rd 20 res} read: 30, ts: 6, fin: 8/117, writer id: 12, n: 12
81303544:3:{rd 20 res} read: 30, ts: 6, fin: 5/117, writer id: 12, n: 12
84945131:6:{rd 21 res} read: 9, ts: 7, fin: 5/26, writer id: 1, n: 12
84948815:4:{rd 21 res} read: 9, ts: 7, fin: 6/27, writer id: 1, n: 12
84957438:11:{rd 21 res} read: 9, ts: 7, fin: 8/29, writer id: 1, n: 12
84961132:2:{rd 21 res} read: 9, ts: 7, fin: 9/30, writer id: 1, n: 12
84961266:3:{rd 21 res} read: 9, ts: 7, fin: 9/30, writer id: 1, n: 12
84961287:5:{rd 21 res} read: 9, ts: 7, fin: 8/30, writer id: 1, n: 12
84964581:12:{rd 21 res} written: 9, ts: 7, fin: 10/31, n: 12
84965498:10:{rd 21 res} read: 9, ts: 7, fin: 10/31, writer id: 1, n: 12
84968844:1:{rd 21 res} written: 9, ts: 7, fin: 11/32, n: 12
85067399:7:{rd 21 res} read: 9, ts: 7, fin: 5/57, writer id: 1, n: 12
85071531:9:{rd 21 res} read: 9, ts: 7, fin: 5/58, writer id: 1, n: 12
85337500:8:{rd 21 res} read: 9, ts: 7, fin: 6/126, writer id: 1, n: 12
88960307:11:{rd 22 res} read: 9, ts: 7, fin: 9/30, writer id: 1, n: 12
88964190:5:{rd 22 res} read: 9, ts: 7, fin: 9/31, writer id: 1, n: 12
88964435:2:{rd 22 res} read: 9, ts: 7, fin: 10/31, writer id: 1, n: 12
88968453:3:{rd 22 res} read: 9, ts: 7, fin: 11/32, writer id: 1, n: 12
88972243:12:{rd 22 res} read: 9, ts: 7, fin: 12/33, writer id: 1, n: 12
88976262:10:{rd 22 res} read: 9, ts: 7, fin: 13/34, writer id: 1, n: 12
88980389:1:{rd 22 res} read: 9, ts: 7, fin: 13/35, writer id: 1, n: 12
88987835:6:{rd 22 res} read: 9, ts: 7, fin: 6/37, writer id: 1, n: 12
88991592:9:{rd 22 res} read: 9, ts: 7, fin: 5/38, writer id: 1, n: 12
88991613:7:{rd 22 res} read: 9, ts: 7, fin: 5/38, writer id: 1, n: 12
88995638:4:{rd 22 res} read: 9, ts: 7, fin: 6/39, writer id: 1, n: 12
89195353:8:{rd 22 res} read: 9, ts: 7, fin: 7/90, writer id: 1, n: 12
92947204:11:{rd 23 res} read: 10, ts: 8, fin: 6/27, writer id: 1, n: 12
92950298:1:{rd 23 res} written: 10, ts: 8, fin: 7/28, n: 12
92951075:2:{rd 23 res} read: 10, ts: 8, fin: 7/28, writer id: 1, n: 12
92955327:5:{rd 23 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
92955623:10:{rd 23 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
92959588:8:{rd 23 res} read: 10, ts: 8, fin: 9/30, writer id: 1, n: 12
92967445:6:{rd 23 res} read: 10, ts: 8, fin: 5/32, writer id: 1, n: 12
92971337:4:{rd 23 res} read: 10, ts: 8, fin: 5/33, writer id: 1, n: 12
92975227:9:{rd 23 res} read: 10, ts: 8, fin: 11/34, writer id: 1, n: 12
92975381:7:{rd 23 res} read: 10, ts: 8, fin: 11/34, writer id: 1, n: 12
93005749:12:{rd 23 res} written: 10, ts: 8, fin: 8/42, n: 12
93092861:3:{rd 23 res} read: 10, ts: 8, fin: 7/64, writer id: 1, n: 12
96946474:4:{rd 24 res} read: 10, ts: 8, fin: 6/27, writer id: 1, n: 12
96950282:9:{rd 24 res} read: 10, ts: 8, fin: 5/28, writer id: 1, n: 12
96950397:6:{rd 24 res} read: 10, ts: 8, fin: 7/28, writer id: 1, n: 12
96954735:8:{rd 24 res} read: 10, ts: 8, fin: 8/29, writer id: 1, n: 12
