320776:19:Rime started with address 19.0
392179:21:Rime started with address 21.0
522634:15:Rime started with address 15.0
536645:22:Rime started with address 22.0
556339:24:Rime started with address 24.0
589982:17:Rime started with address 17.0
620042:13:Rime started with address 13.0
623663:18:Rime started with address 18.0
670495:8:Rime started with address 8.0
679509:14:Rime started with address 14.0
711956:1:Rime started with address 1.0
754457:11:Rime started with address 11.0
812435:9:Rime started with address 9.0
867545:10:Rime started with address 10.0
944771:5:Rime started with address 5.0
1013915:12:Rime started with address 12.0
1072161:16:Rime started with address 16.0
1120868:20:Rime started with address 20.0
1141053:3:Rime started with address 3.0
1167669:23:Rime started with address 23.0
1180220:2:Rime started with address 2.0
1185813:7:Rime started with address 7.0
1217307:6:Rime started with address 6.0
1236859:4:Rime started with address 4.0
33038645:16:{rd 8 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 24
33038654:24:{rd 8 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 24
33042397:4:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33042506:8:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33042523:17:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33042578:1:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33042607:14:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33042684:5:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
33046468:2:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
33054176:18:{rd 8 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
33054302:12:{rd 8 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
33054316:13:{rd 8 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
33058119:6:{rd 8 res} read: 3, ts: 1, fin: 14/37, writer id: 1, n: 24
33058233:22:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
33058311:20:{rd 8 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 24
33062063:19:{rd 8 res} read: 3, ts: 1, fin: 12/38, writer id: 1, n: 24
33066071:11:{rd 8 res} read: 3, ts: 1, fin: 12/39, writer id: 1, n: 24
33066136:23:{rd 8 res} read: 3, ts: 1, fin: 12/39, writer id: 1, n: 24
33105525:3:{rd 8 res} read: 3, ts: 1, fin: 16/49, writer id: 1, n: 24
33109317:7:{rd 8 res} read: 3, ts: 1, fin: 16/50, writer id: 1, n: 24
33109521:21:{rd 8 res} read: 3, ts: 1, fin: 16/50, writer id: 1, n: 24
33113403:15:{rd 8 res} read: 3, ts: 1, fin: 16/51, writer id: 1, n: 24
33390986:9:{rd 8 res} read: 3, ts: 1, fin: 13/122, writer id: 1, n: 24
33395144:10:{rd 8 res} read: 3, ts: 1, fin: 12/123, writer id: 1, n: 24
37033702:3:{rd 9 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
37037547:7:{rd 9 res} read: 4, ts: 2, fin: 10/32, writer id: 1, n: 24
37037589:11:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037653:23:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037663:2:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037716:15:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037732:16:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037756:18:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37037793:21:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
37041485:19:{rd 9 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
