37041809:38:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 40
37045610:19:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 40
37045687:7:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 40
37049660:16:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 40
37049717:3:{rd 9 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 40
37053405:31:{rd 9 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 40
37053621:24:{rd 9 res} read: 3, ts: 1, fin: 16/37, writer id: 1, n: 40
37057553:15:{rd 9 res} read: 3, ts: 1, fin: 17/38, writer id: 1, n: 40
37057602:30:{rd 9 res} read: 3, ts: 1, fin: 17/38, writer id: 1, n: 40
37061338:27:{rd 9 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
37061407:33:{rd 9 res} read: 3, ts: 1, fin: 12/39, writer id: 1, n: 40
37061655:13:{rd 9 res} read: 3, ts: 1, fin: 18/39, writer id: 1, n: 40
37069530:8:{rd 9 res} read: 3, ts: 1, fin: 18/41, writer id: 1, n: 40
37073428:39:{rd 9 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
37073461:32:{rd 9 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
37073492:2:{rd 9 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
37073503:22:{rd 9 res} read: 3, ts: 1, fin: 21/42, writer id: 1, n: 40
37076467:1:{rd 9 res} written: 3, ts: 1, fin: 22/43, n: 40
37077385:17:{rd 9 res} read: 3, ts: 1, fin: 22/43, writer id: 1, n: 40
37077387:36:{rd 9 res} read: 3, ts: 1, fin: 22/43, writer id: 1, n: 40
37081228:28:{rd 9 res} read: 3, ts: 1, fin: 23/44, writer id: 1, n: 40
37081268:4:{rd 9 res} read: 3, ts: 1, fin: 23/44, writer id: 1, n: 40
37081279:21:{rd 9 res} read: 3, ts: 1, fin: 23/44, writer id: 1, n: 40
37081287:12:{rd 9 res} read: 3, ts: 1, fin: 23/44, writer id: 1, n: 40
37081318:20:{rd 9 res} read: 3, ts: 1, fin: 23/44, writer id: 1, n: 40
